Diffusion_name,Territoire,Type,Type d'intervenant.e,Permanents,Bénévoles,Nb de pros,Contact(s) lié(s),Nb de bénéficiaires,Date,Compte-rendu,Prochaines étapes,Retour ?,Fiches,Organisme (from Fiches),Photos,Personne à informer de ce CR
RDV avec UD DRIHL 93,93,Rendez-vous,Salarié.e,Théo Dumouchel,,2.0,,,6/10/2020,"RDV avec Clément Georges, Chef du bureau de la Veille sociale et hébergement d'urgence et Sara Reteri, coordinatrice Urgence sociale et hébergement pour présenter Soliguide.

Présentation de Soliguide et des actions menées pendant le confinement. Présentation du projet Soliguide 93 2021 : complétion et màj BDD, comptes pros et accessibilité bénéficiaire.

On a également évoqué l'enquête Nuit des maraudeurs qui avait pour but de compter le nombre de sans abri dans le 93. Ils veulent que je les aide à développer les maraudes sur le territoire en en parlant aux assos.

Contact ars : martine.dalet@ars.sante.fr","'-Accord pour un financement à hauteur de 76 000 euros par la DRIHL pour 2021, de manière pérenne si les conditions sont remplies (années suivantes)
-Transmission très rapidement de la demande de sub Cerfa + cette semaine obligatoirement : export aide alimentaire à jour (carte surtout, pas forcément détails), stats impact Covid (alimentaire si possible ?) et impact été + exemple NL (mais à ma propre initiative)
",Retour positif,,,,
Visite structure PIJ de Nogent-sur-Marne,94,Rencontre structure,Stagiaire,,,4.0,,0.0,6/10/2020,"J'ai été reçue par Mr Hamedia Diakite, chargé de projets jeunes à la PIJ de Nogent-sur-Marne. Il m'a d'abord présenté les différentes actions de la PIJ dont les projets jeunes, l'espace collégien et l'espace lycée, un local au lycée directement mais est actuellement en travaux de rénovation). Je lui ai expliqué le principe du Soliguide et le fonctionnement de Solinum. Nous avons ensuite fait une visite des lieux et discuté avec 3 de ses collègues du pôle collégien pour leur présenter Soliguide et la possibilité de faire des recherches rapides et l'option d'un chat traduit. L'un d'eux était notamment intéressé car il travaille et fréquente de nombreuses associations du quartier. Même s'il était un peu septique au début, il a rapidement compris l'avantage de Soliguide (centralisation de l'information pour plus efficacement faire des recherches) et en parlera autour de lui. Nous sommes ensuite retournés au bureau de Mr Diakite pour qu'il fasse lui-même une recherche et qu'il découvre le système de filtres, de mots clé, et des différentes catégories existantes. Il a ensuite ajouté Soliguide dans ses favoris et proposé d'en faire de même avec les ordinateurs à disposition du public après en avoir discuté avec sa direction.","De communiquer avec sa direction pour installer Soliguide en raccourci sur l'écran d'accueil, et de me recontacter s'il veut organiser une sensibilisation avec les bénéficiaires directs.",Retour positif,Point Information Jeunesse Nogent-sur-Marne,PIJ de Nogent-sur-Marne,,
RDV Flyers Cart'ONG,33,Réunion de coordination,"Salarié.e,Service civique","Juliette Lautrain,Jimmy Bondu,Ilse Vos",,3.0,,,7/10/2020,Deux bénévoles de Cart'ONG on fait une carte mais pas tout à fait qualitative et sans la légende...,"'- Leur envoyer le périmètre de la carte

- Faire le trie dans les structures (hygiène, alimentation, santé) 

- Traduire la carte ? 

RDV le 19 octobre pour rendu final (on espère)",,,,,
Réunion des maraudeurs,33,Réunion de coordination,Salarié.e,Juliette Lautrain,,14.0,,,7/10/2020,"Lieu : Wanted 
Rédacteur du CR : Clément 
Participants : 
Helene – Imagine demain
Magalie – Les Gratuits
Clément - Les Gratuits
Estelle – Maraude du cœur
Alizée – Chainon manquant
Mathilde – La Cloche
Claire - Samu Social
Jeremy – Wanted
Maeva – Darwin
Morti – Diamand des cités
Juliette – Solinum
Zoé – Graine de solidarité
Rachir La piraterie
Franck – Pirate de l’espoir   
Sujets évoqués : 
Retour sur la distribution de “pass” touristiques : 
Plusieurs pass distribués par La Piraterie et Maraude du Coeur, quelques retours des bénéficiaires, tous positifs. 
Morti va louer un bus courant décembre et organiser une journée de visite touristique groupée de Bordeaux pour les personnes du lieu de vie “La Mine” au Grand Parc. Jérémy participera pour valoriser l’opération afin de montrer son impact et d’obtenir un renouvellement des dons de “Pass”.  

Des étudiants en carrière sociale et sanitaire cherche à effectuer des stages d’observation au sein des maraudes : les associations peuvent recevoir ces stagiaires. Attention à bien regarder les mails et MP sur les différents médias sociaux pour vérifier si des sollicitations sont arrivées. 
>>> Faire signe à Hélène pour les assos prêtes à accueillir des stagiaires. 

Mise à jour de la cartographie des parcours des maraudes : Solinum réalise ce travail qui vise à préciser le parcours des maraudes et les  principaux lieux de distribution, date, horaire, type de produits distribués (hygiène, alimentaire, santé, croquettes, vêtements…). 
>>> L’ensemble des maraudes peuvent faire suivre ces éléments au plus vite par mail juliette@solinum.org

Mise à jour du livret d’informations créé lors du “confinement” : La cloche mène ce travail pour l’adapter aux besoins de l’hiver. Le document sera téléchargeable sur le site de l’association. Il sera aussi possible d’obtenir des exemplaires imprimés sur demande. L’association a aussi des Kits d'hygiène à disposition des bénéficiaires et des maraudes. 
>>> Demande par mail : bordeaux@lacloche.org

Nouveau lieu de vie au Grand Parc “La Mine” : 
Un nouveau lieu a ouvert au Grand Parc, dans un bâtiment dont la VIlle de Bordeaux est propriétaire avec qui une négociation est en cours pour éviter une expulsion voire pour mettre en place une gestion associative.
Morty gère ce lieu qui présente :
3 appartements en colocation : un pour femmes seules, 2 pour hommes seuls.
5 familles occupent d’autres appartements.
Plusieurs autres appartements pourraient être rénovés mais ne sont pas encore disponibles. 
Morti gère une liste d’attente. Il est à la recherche d’équipements électroménagers.  

Un appel à projet national de lutte contre la pauvreté intitulé « fonds d’urgence quartier solidaire » a été publié par le gouvernement : 
Les maraudes et autres acteurs constitués en associations peuvent y répondre https://www.cohesion-territoires.gouv.fr/dossier-de-presse-fonds-durgence-quartiers-solidaires 


Darwin dispose d’un container et demi de produits d’hygiène (couches, serviettes hygièniques...) et dispose de place pour stocker d’autre dons. Pour toute demande de produits ou de surface de stockage, joindre Maeva: maevapham.contact@gmail.com 

Les Gratuits proposent de lancer une grande collecte de dons pour couvrir les besoins hivernaux : 
Sur le modèle de l’initiative « Urgence eau Bordeaux – été 2020 », cette nouvelle collecte vise à recueillir le plus grand nombre possible de dons qu’ils soient prioritairement en nature (tentes, couvertures, duvets, vêtements chaud et de pluie...) mais également en numéraire via une cagnotte en ligne.
Les Gratuits souhaitent mutualiser l’organisation de la collecte et le partage des dons récoltés entre les différents acteurs qui souhaiteront s’associer à la démarche. Morti et Estelle indiquent qu’ils souhaitent y travailler. 
>>> Celles et ceux qui veulent en savoir plus et participer à ce projet peuvent rejoindre la conversation WhatsApp dédiée sur simple demande sms à Clément (0625344806) ou Cécilia (0664336061). 

Divers : 
Gratuité des transports en commun : Le Pass tourisme est souvent utilisé pour être en règle dans les transports en commun. Il y a certainement un point d’informations à faire sur les dispositifs de gratuité des transports.

La piraterie propose des cours de Français Langues Etrangères (FLE). Un flyer avec toutes les informations sera bientot publié.

Le Wanted proposera des “Tablées Solidaires” tous les dimandes soirs jusqu’à fin décembre grâce à un partenariat Harmonie Mutuelle. C’est 100% gratuit pour les bénéficiaires qui dînent comme de simples clients. Le 115, les maraudes peuvent orienter. Il n’y a aucune démarches spécifiques à faire, les gens se présentent et sont acceptés en fonction des places disponibles.",: renseigner les maraudes sur les cartes faites par Cart'ONG,,"Association la Cloche,Wanted Café ,Graines de solidarité,Diamant Cité Nord","La Cloche,Wanted Community,Graines de solidarité",,
Rendez-vous téléphonique We take care,78,Rendez-vous,Salarié.e,Blanche ADOU-NIANGORAN,,2.0,,0.0,7/10/2020,"Léa Courtois travaille chez We Tech Care (WTC) depuis 2 ans et demi (structure d'inclusion numérique). Elle accompagne les collectivités sur leur offre. Elle est cheffe de projet.
Charlotte est consultante pour WTC depuis 1 an et travaille sur la mission du Conseil Départemental avec Léa.

Le département cherche à accompagner leurs publics dans l'inclusion du numérique. Ils recherchent une solution qui permettra aux personnes d'accéder aux structures et services d'accompagnement numérique.
Ils ont fait donc appel à We Tech Care qui les accompagne depuis un an sur ce volet. L'équipe de WTC a mené une enquête en direction des partenaires pour identifier leurs besoins et les solutions mises en place. Un copil aura lieu prochainement pour évoquer le résultat de cette étude et choisir la meilleure solution.
Elle trouve que le soliguide a différents onglets qui correspondent à leur solution (accompagnement social, conseil administratif, accompagnement numérique).
WTC a développé une plateforme de ressources à l'inclusion numérique ""les bons clics""; pour accompagner les publics au numérique (possibilité de mettre un lien de redirection vers le soliguide et vice versa).
Ils connaissent un peu le soliguide. Le soliguide est bien positionné pour être choisi.
","- Elles m'informeront de la solution qui a été choisie ou le département
- Léa me contactera pour me transmettre la BDD qu'elles ont constituées.
- Nous resterons en contact pour une collaboration avec le lien de redirection vers nos plateformes respectives.",Retour positif,,,,
Sensibilisation Croix Rouge Châtillon,92,Réunion de service,"Salarié.e,Stagiaire",Blanche ADOU-NIANGORAN,,13.0,,0.0,7/10/2020,"Nous avons assisté à la réunion mensuelle de l'équipe locale. 7 personnes ont participé à cette rencontre en visioconférence et 6 personnes étaient présentes dont 2 nouveaux.

Nous avons présenté l'outil et les fonctionnalités à venir et échanger avec l'équipe. 
Les membres de l'équipe souhaitent avoir un compte pro au niveau local.
Dépôt flyers et affiches.",Revenir vers eux pour les préparer au compte professionnel,,Unité locale de Chatillon, Croix-Rouge des Hauts-de-Seine - Unité locale de Châtillon,,
RDV Services Sociaux de Seine-Saint-Denis,93,Rendez-vous,Salarié.e,Théo Dumouchel,,2.0,,,7/10/2020,"RDV avec  Audrey Gueniche, cheffe de service adjointe aux territoires et Floriane Payet, Chargée de mission appui au pilotage.
Présentation de Soliguide. Actions envisagées avec les Circonscriptions :
-travail de collaboration avec la Circonscription de Bobigny spécialisée dans le public en errance
-coop et focus groups avec les assistantes sociales et possiblement bénéficiaires
-installation de Soliguide sur tous les ordinateurs en libre service des SSD","Actions envisagées avec les Circonscriptions :
-travail de collaboration avec la Circonscription de Bobigny spécialisée dans le public en errance
-coop et focus groups avec les assistantes sociales et possiblement bénéficiaires
-installation de Soliguide sur tous les ordinateurs en libre service des SSD

Recontacter pour mise en route après discussions avec DRIHL",,"Circonscription du Service Social Départemental - Gagny et Neuilly sur Marne,Circonscription du Service Social Départemental - Pré-Saint-Gervais,Circonscription du Service Social Départemental - Sevran,Circonscription du Service Social Départemental - Drancy,Circonscription du Service Social Départemental - Montfermeil et Coubron,Circonscription du Service Social Départemental - Romainville,Circonscription du Service Social Départemental - Clichy sous Bois,Circonscription du Service Social Départemental - Rosny sous Bois,Circonscription du Service Social Départemental - Neuilly sur Marne et Neuilly Plaisance,Circonscription du Service Social Départemental - Epinay sur Seine,Circonscription du Service Social Départemental - Pierreﬁtte-Sur-Seine,Circonscription du Service Social Départemental - Ile Saint Denis,Circonscription du Service Social Départemental - Les  Pavillons-sous-Bois et Le Raincy,Circonscription du Service Social Départemental - Bondy,Circonscription du Service Social Départemental - La Courneuve,Circonscription du Service Social Départemental - Montreuil,Circonscription du Service Social Départemental - Stains,Circonscription du Service Social Départemental - Villemomble,Circonscription du Service Social Départemental - Villepinte,Circonscription du Service Social Départemental - Noisy le Sec,Circonscription du Service Social Départemental - Dugny et Le Bourget,Circonscription du Service Social Départemental - Villetaneuse,Circonscription du Service Social Départemental - Livry Gargan ,Circonscription du Service Social Départemental - Tremblay en France","Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis",,
Sensi AIDES ,94,Rencontre structure,Stagiaire,,,4.0,,0.0,7/10/2020,"Après avoir appelé pour vérifier les informations des permanences AIDES du 94, Anatole m'a informé qu'ils étaient actuellement en face du centre commercial Okabe et les bénévoles proposés des tests et de l'information. Je me suis donc rendue sur place et ai donné des affiches à AIDES et leur ai présenté le Soliguide en même temps. Ils ont beaucoup aimé l'application et vont essayer de l'utiliser.",Reprogrammer une visite de leurs locaux de Choisy-le-Roi où je pourrais refaire une démonstration de recherches sur Soliguide.,,"Permanence AIDES Créteil,Permanence AIDES Choisy-le-Roi","AIDES,AIDES",,
Sensibilisation Point Information Jeunesse de Rungis,94,Rencontre structure,Stagiaire,,,1.0,,0.0,7/10/2020,"J'ai été accueillie au PIJ de Rungis par la responsable qui travaille seule sur la structure. Elle m'a dit qu'elle travaillait avec l'Espace jeunes 11/17 de rungis situé juste à côté et elle m'a expliqué le fonctionnement du réseau IJ et l'accueil inconditionnel des jeunes qu'il promeut même si pour éviter d'être en conflit avec la mairie, ils ne pouvaient pas publiquement écrire qu'ils reçoivent les personnes demandeurs d'asile ou exilés. 
Nous avons d'abord discuté du fonctionnement de la structure et l'adaptation avec la crise sanitaire (sur rdv et 1h par personne pour l'utilisation d'un ordinateur). Avant la crise, le PIJ ouvrait les samedis matins également car elle était consciente de la contrainte pour les jeunes de rungis qui étudiait sur Paris, et souhaitait donner la possibilité à tous de venir s'informer et bénéficier d'un suivi si nécessaire. 
Elle voit Soliguide comme l'opportunité d'être référencée mais aussi de pouvoir orienter plus facilement son public vers des structures qu'elle ne connait pas forcément. Elle était ravie de pouvoir imprimer les fiches à la demande, mais aussi de pouvoir nous demander des exports pour l'aider dans sa recherche de structures partenaires si elle souhaite organiser des forums ou autres. Les sujets auxquels elle fait face (harcèlement scolaire/numérique, violence familiale et conjugale et décrochages scolaires qui en découlent) sont partagés par plusieurs antennes, même si celles-ci sont aussi très démunies face aux cas d'urgence sociale car elles manquent d'informations sur les procédures ou les structures/association qui s'en occupent dans leur zone géographique. Elle m'a donc proposé de nous mettre en relation avec la responsable réseau IJ du 94, qui selon notre contact pourrait parler de nous aux différentes responsables réseaux des départements IDF. 
Nous avons aussi fait quelques recherches sur Soliguide pour qu'elle voit les différentes catégories de services ainsi que l'utilisation des filtres et du chat. Elle a pris une affiche et quelques flyers et a proposé de parler de Soliguide lors de la prochaine réunion de parents d'élèves à laquelle elle prendrait part par exemple. Elle m'a aussi dit qu'elle ajouterait Soliguide en raccourcis sur l'accueil des ordinateurs.","Mise en relation par mail avec la responsable réseau PIJ du 94, et nous contacter pour référencer de associations plus petites dont elle aurait connaissance.",Retour positif,Point Information Jeunesse Rungis,PIJ de Rungis,,
Réunion de partenariat Wanderlust,95,Rendez-vous,Salarié.e,Alice De Ronne,,1.0,,0.0,7/10/2020,"Pour la fin du partenariat Wanderlust avec les élève de l'ESSEC, j'ai appelé Sarah pour avoir un retour et lui parler du Soliguide. Nous avons convenu d'un rendez-vous pour mettre la fiche de son association à jour.",Nous avons un rendez-vous pour mettre la fiche à jour.,Retour positif,Association Du côté des femmes Cergy,Association Du côté Des Femmes,,
Village des associations VINCI,33,Réunion de service,"Salarié.e,Service civique","Juliette Lautrain,Jimmy Bondu,Ilse Vos",,6.0,,,8/10/2020,"Présentation de l'association, des deux projets et des possibilité de misssion de bénévolat. Plusieurs représentants RH présents pour faire passer notre appel à bénévoles auprès des collaborateurs de leur service.",Mettre les missions sur wenabi + Réitérer ce type de présentation chez Thales et tous les autres groupes qui pourrait avoir de potentiels hébergeurs pour MPLI.,,,,,
Sensib avec l'équipe de la Halte Jeunes,75,Rencontre structure,Service civique,Jeanne Ovart,,3.0,,,8/10/2020,"Suite à une rencontre avec le chef de service, Alix, nous nous étions mis d'accord pour une rencontre avec l'équipe, puis des ateliers pour former les bénéficiaires de la Halte au Soliguide. Nous avons donc rencontré 3 travailleurs, Tim, le chargé d'animations de la structure, une des travailleuses sociale, puis Mehdi. Nous leurs avons présenté le Soliguide, qu'ils ont trouvé plutôt complet et intéressant pour leur public (qui est bien équipé) et leur activité car ils sont beaucoup sur un travail de ré-orientation, donc cela pourrait entre dans leurs réflexes de pratiques professionnelles. Nous leur avons proposé des ateliers pour les bénéficiaires, le but étant de leur installer Soliguide et de leur montrer comment cela fonctionne pour une utilisation autonome dans le futur. Verbatim : ""c'est bien, c'est super complet"".

Nous avons également beaucoup parlé de MPLI, qui a suscité intérêt et questionnement. Ils peuvent envisager cela pour les jeunes qu'ils suivent. On leur a donné un flyer pour qu'ils se renseignent en cas de nécessité. Des questions ont resurgis : les femmes en situation irrégulieres peuvent rentrer dans le dispositif ? Y a t-il un briefing des hébérgeureuses avant la cohabitation ? Quelles rétributions ? Comment assurer la sécurité des femmes ?  ",Ateliers bnéficiaires pour leur présenter le soliguide et les y former,,Halte Jeunes 18-25,Aurore | Halte jeunes 18-25 ,,
Coop FAS 94,94,Coop,"Salarié.e,Stagiaire",Théo Dumouchel,,7.0,,0.0,8/10/2020,"Le réunion en ligne organisée par la FAS réunissait plusieurs organismes, notamment une représentante du Secours Catholique. Théo avait proposé à Mathilde du projet LEVIER de venir présenter rapidement le projet en début de réunion, ce qu'elle a fait. Nous avons ensuite présenter Soliguide aux travailleuses sociales et comment faire une recherche sur le site. Théo a aussi parlé des comptes pro à venir et de leur fonctionnement. Elles ont apprécié l'idée de pouvoir modifier directement les informations sur leur fiches et donc aider à avoir une information de qualité. La représentante du Secours Catholique nous a ensuite demandé de lui partager des tutoriels pour les transmettre aux antennes car elle sait qu'il y a une faible utilisation du numérique au sein de certaines équipes. Elle-même a eu besoin d'un temps d'adaptation pour comprendre le fonctionnement de l'outil pendant le confinement, si bien qu'elle préférait poser des questions directement sur le tchat plutôt que de faire des recherches. Une autre question concernait le rapport entre Soliguide et le projet LEVIER. Mathilde a répondu que notre collaboration permettrait de pérenniser les formations développées dans le projet et les informations récoltées. Il y a également une partie du budget pour permettre de traduire le Soliguide. ",Envoyer un mail avec support Soliguide et flyers à tous les participants puis les recontacter individuellement pour prévoir des sensibilisations.,Retour positif,,,,
Réunion de partenariat Wanderlust,95,Rendez-vous,Salarié.e,Alice De Ronne,,1.0,,0.0,8/10/2020,Suite au partenariat Wanderlust avec les étudiants de l'ESSEC je lui ai parlé du Soliguide par téléphone.,Nous avons convenu d'un rendez-vous en présentiel avec des membres bénévoles et de faire une maraude avec eux.,,Association Du côté des femmes Cergy,Association Du côté Des Femmes,,
Sensibilisation SOS Familles Emmaus,94,Rencontre structure,Stagiaire,,,2.0,,0.0,8/10/2020,"Mme Michelle Lavanant (vice-présidente) m'a accueillie avec la trésorière de SOS Familles Emmaus. Nous avons d'abord discuté du fonctionnement de leur structure (comment étaient sélectionnés les dossiers auxquels l'association ferait un prêt, les critères pour le suivi des remboursement, l'accompagnement dans la suivie du budget etc.). Elles m'ont également dit que la situation était devenue très précaire avec la crise sanitaire : de nombreuses personnes qui se retrouvaient sans emploi et donc incapables de payer leurs charges, souvent dans des conflits administratifs. Elles ont accentué l'importance des assistantes sociales pour avoir confiance en la capacité des bénéficiaires de rembourser l'emprunt et ont d'ailleurs pensé que Soliguide pourrait leur être utile et donc qu'elle leur en parlerait. Je leur ai ensuite fait une démonstration de Soliguide et expliqué les financements de Solinum puisqu'elles étaient un peu septiques au départ. Mais rapidement elles ont trouvé l'outil bien pensé et pratique pour faire des recherches. Elles m'ont donc pris des flyers et une affiche et dit qu'elles en parleraient autour d'elles. Elles pensent que l'outil peut être promut aux communautés emmaus directement.",Contacter Fanta Koné pour voir si possibilité de présenter/parler de Soliguide avec les autres structures Emmaus.,Retour positif,SOS Familles Emmaüs,Emmaüs France,,
Réunion de co-construction GPSO,92,Coop,"Salarié.e,Stagiaire",Blanche ADOU-NIANGORAN,,5.0,,0.0,9/10/2020,"4 acteurs non-présents ont souhaité avoir le CR de la rencontre
- Isabelle Aubert : directrice du CCAS d'Avray
- Bruno Wallaert : président CEAS 92
- Catherine Bérest : responsable Boulogne du Secours Populaire Comité
- Loïc LE LAN : responsable Secours Catholique de Meudon la Forêt

CR : https://docs.google.com/document/d/1qPf6g97P3yipZLNBVE-aWZsFU2uMp_E08e4fMX8fy7s/edit


","- Contacter les acteurs pour des rencontres et la mise en place de permanences
- Prévenir les acteurs de l'arrivée des comptes professionnels",,"Visemploi Boulogne,Secours Catholique Issy les Moulineaux - paroisse Ste-Lucie,Maison de la colline ,Secours Catholique Issy les Moulineaux - Paroisse ND des Pauvres,CCAS d'Avray","Visemploi,Secours Catholique des Hauts-de-Seine,Maison de la colline Sèvres,Secours Catholique des Hauts-de-Seine,Ville d'Avray",,
Sensibilisation à l'équipe d'AS de l'hôpital Louis Mourier,92,Réunion de service,Salarié.e,Blanche ADOU-NIANGORAN,,16.0,,0.0,12/10/2020,"Sensibilisation à la majorité de l'équipe d'assistants sociaux de l'hôpital, sur invitation du Responsable du service social (mr François MICKIEWICZ)
- présentation de l'outil
- démonstration sur le site
- présentation de la V2 de l'outil + explication sur les comptes professionnels et la recherche.
- Echange autour de l'utilisation de l'outil et des comptes pro.
Dépôt environs 50 flyers et 3 affiches.",Informer mr François MICKIEWICZ de l'arrivée des comptes professionnels.,"Idée d'amélioration technique ou bug,Retour positif","CeGIDD de l'Hôpital Louis-Mourier,Hôpital Louis-Mourier,PASS de l'Hôpital Louis-Mourier,CPEF de l'Hôpital Louis-Mourier","Hôpital Louis-Mourier AP-HP,Hôpital Louis-Mourier AP-HP,Hôpital Louis-Mourier AP-HP,Hôpital Louis-Mourier AP-HP",,
Sensibilisation équipe Association Joly,94,Rencontre structure,Stagiaire,,,10.0,,0.0,12/10/2020,"Je suis allée à l'accueil de jour de l'association Joly où toute l'équipe m'attendais. Nous avons d'abord fait un tour de table où chacun s'est présenté et donc en m'expliquant leurs rôles et les différents services proposés. Nous sommes ensuite rapidement passés à la présentation du Soliguide et de comment faire une recherche. L'équipe étant très intéressée et avec diverses attentes nous avons pu voir l'utilité des différent filtres et chaque personne a ensuite fait des recherches elle-même. Cela nous a permis de voir que le tchat ne proposait pas certains dialectes des pays d'Afrique par exemple. Malgré tout, chacun a réussi à trouver des structures intéressantes ou qu'ils connaissaient déjà ce qui leur donne confiance en Soliguide et l'exactitude des informations. 
J'ai beaucoup insisté sur la nécessité de me faire remonter d'autres structures qu'ils pouvaient connaitre si elles n'étaient pas encore répertoriées, et nous avons même discuté de la possibilité d'intervenir pendant la réunion CTIDS du 94 à laquelle l'association doit participer pour présenter l'outil à d'autres structures potentiellement intéressées.",Fawzi doit me faire un retour des informations à ajouter ou modifier sur la fiche Soliguide de la structure.,Retour positif,Association Joly,Association Joly,,
Rencontre/Visite de la Communauté Emmaüs Strasbourg,67,Rencontre structure,Salarié.e,Aimeric Prod'homme,,1.0,,,13/10/2020,Modifications de la fiche pour plus de précision. Sensibilisation de Laurie SCHUCK à l'utilisation du Soliguide. Collage de 2 affiches et 2 Solituto. Dépôt de flyers.,,,Communauté Emmaüs de Strasbourg,Emmaüs,,
Réunion de co-construction POLD,92,Coop,"Salarié.e,Stagiaire",Blanche ADOU-NIANGORAN,,5.0,,0.0,13/10/2020,"2 acteurs présents n'ont pas encore de fiches sur soliguide.
6 acteurs non-présents ont souhaité avoir le CR de la rencontre Asso.SMR@gmail.com,
- Alessandra FLAHAULT directrice de l'association Auxilia
- Valérie-ROY : Coordinatrice COURTE ECHELLE
- Judith SEBO : responsable boucle nord secours catholique
- Aude Ternat : Educatrice spécialisée AGATA
- Hélène sébilet : secours catholique de Nanterre
Voir CR : https://docs.google.com/document/d/1h1ul_-bOHo323ZFGCcXV55T-35ySD-_P7TPW6X9iR14/edit","- Référencer les fiches des acteurs présents
- Contacter les acteurs pour des rencontres et la mise en place de permanences
- Prévenir les acteurs de l'arrivée des comptes professionnels",Retour positif,"Secours Catholique Rueil Malmaison - Bienvenue @ vous,CCAS de Courbevoie,Essor 92 - Agence de Courbevoie,Essor 92 - Agence de Nanterre,""Maison d'accueil """"L'Escale"""""",ASSOL – Maison des Chômeurs et Précaires","Secours Catholique des Hauts-de-Seine,Ville de Courbevoie,Essor 92,Essor 92,Ville de Courbevoie,ASSOL",,
Atelier numérique à la médiathèque Roger Gouhier de Noisy-le-Sec,93,Permanence,"Salarié.e,Stagiaire",Théo Dumouchel,,2.0,,3.0,13/10/2020,"Atelier organisé à la médiathèque avec médiateurs numériques pour apprendre à se servir d'un ordinateur et de Soliguide. 3 femmes somaliennes ne parlant pas français sont venues, l'atelier s'est transformé en atelier ordinateur + soliguide + cours de français. Expérience très intéressante. Mais nous n'avons pas réussi à faire venir assez de monde. La prochaine fois, on pourra refaire un atelier comme ça mais en partenariat avec une structure du territoire pour que l'on ait un nombre de personnes sûr.","Refaire un atelier mais avec une structure (secours pop, secours cath, pij) partenaire et leurs bénéficiaires.",,Médiathèque Roger Gouhier - Noisy le Sec,Médiathèque Roger Gouhier,"20201013_170452.jpg (https://dl.airtable.com/.attachments/c0762f2164e1458a741be40744431298/383d3ed1/20201013_170452.jpg),20201013_165519.jpg (https://dl.airtable.com/.attachments/ea13dd9539998b9bfb7becfb69186519/649c81ac/20201013_165519.jpg)",
Sensibilisation réunion Resf-Fontenay diversité,94,Rencontre structure,Stagiaire,,,8.0,,0.0,13/10/2020,"Je suis arrivée à la réunion Resf et les 8 personnes des divers collectifs m'attendaient. Ils avaient chacun des parcours différents et m'ont d'abord expliqué les actions qu'ils menaient politiquement pour lutter contre les exclusions à la sortie des écoles (même si cela se fait de moins en moins), mais aussi les différentes permanences et l'organisation entre les bénévoles pour le traitement des dossiers. Nous avons ensuite commencé à discuter du Soliguide et je leur ai montré le fonctionnement d'une recherche et les différentes possibilités de filtrer ou d'utilisation du tchat. Ils paraissaient tous assez impressionnés par le guide et ont trouvé les différentes permanences ou associations qu'ils connaissaient dans le quartier. Une dame a même commencé à utiliser l'application d'elle-même. Avant de partir je leur ai laissé des flyers et des affiches pour qu'ils en distribuent autour d'eux, et dans les autres associations ou structures dans lesquelles ils travaillaient.",Attendre retour de la personne travaillant à la mairie pour peut-être faire sensi (a pris mon contact),Retour positif,Association Fontenay pour la diversité,Association Fontenay pour la diversité,,
