Nom,Etat,Territoire,Source,Document à joindre,Notes,Lien,Date de parution,Référent
CCAS Essonne,Données intégrées,91,,,,https://www.essonne.fr/les-annuaires/liste/thematique/les-centres-communaux-daction-sociale-ccas,,Emilie Donque
Centres départementaux Restos du Cœur 91,A ajouter,91,,,En attente retour des Resto du Coeur,https://ad91.restosducoeur.org/centres-departementaux/,,Emilie Donque
PMI Essonne,"Données intégrées,Partenariat en cours",91,,,,https://www.essonne.fr/les-annuaires/liste/thematique/les-centres-de-protection-maternelle-et-infantile-pmi/,,Emilie Donque
FVVC Essonne,"Données intégrées,Partenariat en cours",91,,,"Comme il s'agit aussi d'un hébergement FVV, devons-nous l'enregistrer sur soliguide?",https://orientationviolences.hubertine.fr/centre/femmes-solidarite-91-association-communaute-jeunesse,,Emilie Donque
Epiceries sociales en Essonne,A ajouter,91,,,,https://la-cle.asso-web.com/53+les-epicerie-sociales-en-essonne.html,,Emilie Donque
CARTOGRAPHIER PASS,Données intégrées,92,,,Carto,https://www.iledefrance.ars.sante.fr/precaires-annuaire-des-pass-et-outils-daccompagnement,,
référencés relais parents/ LAEP,A ajouter,92,,,,,,
Carto structure santé au CMM,A ajouter,92,,,https://www.suresnes.fr/wp-content/uploads/2019/05/plaquetteCMM_2019.pdf,,,
cmp ,Données intégrées,92,,,,http://www.eps-erasme.fr/92I06-CMP-Plessis-Robinson/9/43/36,,
carto,A ajouter,92,,,"Association du Secours Adventiste de Bagneux (L’ASAB)

AGF Asso générale des familles de Bourg-la-Reine : 116 Avenue du Général Leclerc, 92340 Bourg-la-Reine https://www.bourg-la-reine.fr/Cadre-de-vie-developpement/Vie-associative/Annuaire-des-associations/AGF?uri=%2FCadre-de-vie-developpement%2FVie-associative%2FAnnuaire-des-associations%3Fcommunes%3D0%26offset%3D12%26query%3D%26tags%3D0

FREHA - https://www.freha.fr/",,,
CPEF,Données intégrées,92,,,A cartographier,https://www.hauts-de-seine.fr/solidarites/maternite-petite-enfance/petite-enfance-le-suivi-en-pmi/les-centres-de-planification-et-deducation-familiale-cpef/,,
Apsis,Données intégrées,92,,,a cartographier,http://ccas-rueilmalmaison.fr/apsis/,,
carto france victime,A ajouter,92,,,la deuxième asso à référencer,https://www.france-victimes.fr/index.php/component/association,,
Centre de santé croix rouge,Données intégrées,92,,,a Cartographier,https://pourvous.croix-rouge.fr/recherche-etablissements,,
planning familiale,Données intégrées,92,,,carto,https://www.planning-familial.org/fr,,
carto association Jeune dans la Cité,Données intégrées,92,,,"Yann PEIRE : Directeur de Jeune dans le Cité,  direction@assojdlc.org  ,06 23 72 42 82

",,,
l'hôpital Louis Mourier (Colombes),Données intégrées,92,,,carto,https://www.aphp.fr/services/h%C3%B4pital-louis-mourier,,
accès à l'eau et à l'hygiène,Données intégrées,92,,,"a cartographier : se doucher, toilettes, l'eau potable

Utiliser un lave-linge à rajouter
+ Assos qui propose ! (accueils de jour, douches mobiles, éventuelles associations organisant des
maraudes avec des produits d'hygiène, initiatives mises en place par les différentes
communes...).",,,
centre théophile roussel,Données intégrées,92,,,a cartographier,,,
carto courbevoie,En cours d'ajout,92,,,,https://www.ville-courbevoie.fr/141/annuaire-des-associations.htm?page=5034-2,,
carto prévention jeunes,Données intégrées,92,,,https://www.associationdusitedeladefense.fr/,,,
carto service rue,A ajouter,92,,,Tableur veille active jeunes,,,
ADIL 92,Données intégrées,92,,,,https://www.adil92.org/index.php?option=com_k2&view=item&layout=item&id=111,,
carto Tumclasst,A ajouter,92,,,,,,
Carto maraudes,A ajouter,92,,,,,,
a référencer ,Données intégrées,92,,,,https://maptiteechoppe.fr/a-propos-de,,
EDAS,Données intégrées,92,,,A cartographier,https://data.opendatasoft.com/explore/dataset/espaces-departementaux-dactions-sociales-edas%40hauts-de-seine/table/?flg=fr&disjunctive.type&disjunctive.commune&sort=id,,
carto cours de français ,En cours d'ajout,92,,,"Agrandir le référencement https://www.ville-chaville.fr/sante-solidarite/droit-des-citoyens/apprendre-le-francais-322.html

https://www.reseau-alpha.org/trouver-une-formation?form%5BcodePostal%5D=92&form%5BniveauLinguistiqueVise%5D=",,,
Carto PIMMS,Données intégrées,92,,,Carto si cela n'a pas été fait ,https://www.pimms.org/les-pimms/,,
Nouvelles voies,Données intégrées,92,,,à cartographier - si c'est pas fait !,http://nouvellesvoies.com/permanences/,,
Accueil de jours 92 ,Données intégrées,92,,,Vérifier si les fiches cartographier,,,
Pole social chatillon,Données intégrées,92,,,a cartographier ,https://ville-chatillon.fr/actualites/actualites/ouverture-dun-pole-social-departemental-a-chatillon-310,,
Carto SIAE,Données intégrées,92,,,,http://www.grafie.org/annuaire-des-siae?f%5B0%5D=departement%3A90,,
CMP / CMPP,A ajouter,92,,,https://www.psycom.org/wp-content/uploads/2020/07/Psycom-GS92-2018-web-small.pdf,,,
ESJ92,Données intégrées,92,DESJ92,,,,,
Emploi vallée sud - remplace Mission Locale,Données intégrées,92,,,a cartographier,https://www.valleesud.fr/fr/emploi-vallee-sud-grand-paris-vous-accompagne,,
Carto structures CRf ,Données intégrées,92,,,,https://hautsdeseine.croix-rouge.fr/nous-aider/ou-nous-trouver/,,
santé,Données intégrées,92,,,vérifier si structures pas cartographier ,https://santegraphie.fr/accueil/accueil,,
carto urgences psy,Données intégrées,92,,,http://www.eps-erasme.fr/Urgences-psychiatriques-plus-de-16-ans/2/38,,,
CIDFF NORD,Données intégrées,92,,,,,,
"""le guide du meudonnais connecté"" et ""Soli'aides""",Données intégrées,92,Mairie de meudon,,Publiés en 2019.Ddécouverte des listing suite à ma rencontre avec le CCAS,,,
Etablissement hospitaliere ,Données intégrées,92,,,,,,
CPEF,Données intégrées,92,,,A cartographier,https://www.78-92.fr/annuaire/aides-et-services/detail/les-centres-de-planification-et-deducation-familiale-cpef,,
référencer centre d'action sociale,Données intégrées,92,,,"le centre et ses permances 5 Rue Amaury Duval, 92120 Montrouge dont adavip 92",,,
permanence psychologique,Données intégrées,92,,,,https://www.eppalumni.com/page/dispositifs-ecoute-psychologique-covid19,,
Bureau d'information jeunesse,Données intégrées,92,,,http://www.mda92.org/site-web/mda-92/missions/faciliter-l-acces-aux-dispositifs-de-droits-communs/article/les-bureaux-et-points-information-jeunesse-bij-pij ,,,
CIDFF,Données intégrées,92,,,"à cartographier les permanences qui ne le sont pas encore!
",http://hautsdeseine-nord.cidff.info/permanences-cidff/p-52,,
CAF ,Données intégrées,92,,,A cartographier,,,
CMS,Données intégrées,92,,,A CARTOGRAPHIER,https://www.ville-gennevilliers.fr/189/demarches-et-services/sante/centres-municipaux-de-sante-cms.htm,,
CARTO PAEJ,Données intégrées,92,,,,,,
carto insertion,A ajouter,92,,,"Missions Locales (Annuaire 92 en PJ)
Pôle Emploi
Cap Emploi 92 : https://www.capemploi92.fr/
E2C 92 : https://www.e2c92.com/
EDI et PEE (dispositifs Région IDF) : https://www.defi-metiers.fr/dispositifs/avenir-jeunes-espace-de-dynamique-dinsertion-edi - Très peu d’informations disponibles en ligne. Je n’ai pas encore les contacts de tous les conseillers, et je ne pourrai pas vous les transférer directement
PRIJ : Le PRIJ recense déjà un grand nombre d’acteurs sociaux : Boîtes à outils | PRIJ. Il y a à ce jour 3 référents de parcours PRIJ sur les Hauts-de-Seine. Je vérifie que je peux vous transférer leur mail direct et reviendrai vers vous le cas échéant.
BIJ 92 : http://www.mda92.org/site-web/mda-92/missions/faciliter-l-acces-aux-dispositifs-de-droits-communs/article/les-bureaux-et-points-information-jeunesse-bij-pij
 ",,,
ADAVIP 92,Données intégrées,92,,,"https://www.nanterre.fr/ipAnnR/1/opAnnR/PER_LIBELLE+asc/cpAnnR/7724b920178beda2e16a/mpAnnR/10/759-l-acces-au-droit-et-l-aide-aux-demarches-a-nanterre.htm#pAnnR

ADAVIP - 92 France Victimes 92 (Association
D’Aide aux Victimes d’Infractions
Pénales des Hauts-de-Seine) :
Pour toute personne victime d’agressions,
de violences au sein de la famille,
de violences sexuelles, d’escroqueries,
d’abus de confiance, de vols, d’accident
de la circulation etc.
Services gratuits et confidentiels :
• Permanences juridiques au Commissariat
de Rueil-Malmaison :
13 rue Charles-Floquet, 92500 Rueil-Malmaison
01 41 39 49 00
Sans RDV / Lundi : 9h30 à 12h et mercredi : 14h à 17h
• Permanences juridiques au Tribunal Judiciaire de Nanterre :
Bureau d’Aide aux Victimes du Tribunal Judiciaire Nanterre
179/191 av. Joliot-Curie, 92000 Nanterre
Sans RDV / Lundi au vendredi : 10h à 12h et de 13h à
17h30
• Consultations psychologiques :
Siège de l’ADAVIP 92
57 rue Ernest Renan, 92000 Nanterre
01 47 21 66 66 - sur RDV
• Permanences sociales :
Commissariat de Nanterre
54 rue du 19 mars 1962, 92000 Nanterre
06 95 57 45 50 - sur RDV",http://www.adavip92.fr/?page_id=51,,
carto secours catholique saint cloud,Données intégrées,92,,,demande de carto de la part de la délégation,,,
referencement cours courbevoie,Données intégrées,92,,,,,,
CARTO PLIE NANTERRE,Données intégrées,92,,,https://www.nanterre-emploi.fr/espace-editorial/plie-5bb1e3e3a9731,,,
PMI Antony - 13 rue Méditerranée,Données intégrées,92,,,vérifier si cartographier,,,
carto spf courbevoie,Données intégrées,92,,,,,,
carto structures arisse,Données intégrées,92,,,,https://www.arisse.fr/etablissements,,
APTM,A ajouter,92,,,"APTM
Association pour l’accompagnement social et administratif des migrants et de leurs familles
Permanence (sur rendez-vous) : le 2ème et 4ème jeudi du mois, de 14h à 17h",,,
cartographier le reste des bibliothèques,En cours d'ajout,92,,,a cartographier,http://www.bib92.org/les-bibliotheques/liste-des-bibliotheques,,
carto,Données intégrées,92,,,Centre de santé jean jaurès Clichy,,,
PMI,Données intégrées,92,,,vérifier si tout les PMI ont été cartographié,https://www.78-92.fr/annuaire/aides-et-services/detail/les-centres-de-protection-maternelle-et-infantile-pmi-1,,
CIDFF SUD,Données intégrées,92,,,A cartographier,http://hautsdeseine-sud.cidff.info/files/2019/09/plaquette_2019_cidff_92_sud5d7629ec3c6fa.pdf,,
"https://geoportail93.fr/?LAYERS=1253&BASE=787&BBOX=243639,6260801,275981,6275725",,93,,,,,,
PMI 93,,93,,,,,,
La maison des femmes,,93,,,"C'est une maison d'accueil pour femmes vulnérables (IVG, reconstruction après mutilations sexuelles)",https://www.lamaisondesfemmes.fr/,,
Le Numérique près de chez moi ,,93,https://lnpcm.seinesaintdenis.fr/,,,,,
http://www.saint-ouen.fr/services-infos-pratiques/sante-et-action-sociale/229-se-soigner.html,,93,,,,,,
,Données intégrées,93,https://www.ville-bagnolet.fr/tl_files/actualites/2019/09-septembre/21x27_ENCART_CSC_PLANCHES.pdf,,,,,
Pêche aux contacts Forum d'accès aux droits de Bobigny,,93,,,,,,
RDC HIVER 2019/2020,Données intégrées,93,,,,,,
,,93,https://www.gralon.net/mairies-france/seine-saint-denis/associations-categorie-sante-et-action-sociale-93066.htm,,,,,
http://alef-vitry.fr/,,94,,,,,,
PLATEAU BRIARD - Villecresnes : https://www.villecresnes.fr/blog/2020/08/31/guide-associations-2020-2021/ (guide des associations 2020/2021),,94,,,,,2021-02-03,
Contacts CCAS,Données intégrées,94,,,,,,
https://www.mairie-orly.fr/Temps-libre/Vie-associative2/Annuaire-des-associations/Solidarite-et-divers ,,94,,,,,,
PLATEAU BRIARD - Noiseau : http://www.mairie-noiseau.fr/pageLibre00010cff.aspx (guide des associations 2020/2021),,94,,,,,,
https://www.udaf94.fr/services-aux-familles/l-action-sociale/mediation-familiale/150-les-permanences-mediation-familiale-a-l-udaf-du-val-de-marne.html,,94,,,,,,
PLATEAU BRIARD - Mandres les Roses : https://www.ville-mandres-les-roses.fr/download/guides-des-associations-2020-2021 (guide des associations 2020/2021),,94,,,,,,
https://associationtoutazimut.com/lassociation/,,94,,,,,,
https://www.val-de-marne.gouv.fr/content/download/19810/133289/file/Liste%20porteurs%20financ%C3%A9s%20P147%20en%202020.pdf,,94,,,,,,
https://www.api94.org/repertoires-des-acteurs-par-ville/ ,,94,,,,,,
PLATEAU BRIARD - Boissy St Léger : http://www.ville-boissy-saint-leger.fr/Services-en-ligne/Espace-documentaire/Bulletins-municipaux/Plaquettes-culturelles-et-sportives/GUIDE-DES-ASSOCIATIONS-2020-21 (guide des associations 2020/2021),,94,,,,,2021-02-03,
https://metishima-asso.com/,Données intégrées,94,,,,,,
https://maisondeladolescent94.org/la-maison-de-lado/,Données intégrées,94,,,,,,
PLATEAU BRIARD - La Queue en Brie : https://www.laqueueenbrie.fr/temps-libre/associations/annuaire-des-associations-en-cours-de-creation/ (non exhaustif apparemment),,94,,,,,,
https://www.api94.org/repertoire-acteurs/,,94,,,,,,
http://www.apeis.org/Liste-des-comites-locaux-de-l.html,,94,,,,,,
Liste RDC horaires,Données intégrées,94,,,,,,
https://smj.fontenay.fr/fileadmin/SMJ/equipement/EPN-2014_02.pdf equipements numériques fontenay-sous-bois,Données intégrées,94,,,,,,
https://www.villejuif.fr/fileadmin/www.ville-villejuif.fr/MEDIA/Kiosque/Sante/centres_de_sante_2018-03.pdf,,94,,,,,,
"https://solipam.fr/-Cartographie,27-",,94,,,,,,
PLATEAU BRIARD - Santeny : https://www.mairie-santeny.fr/les-aides-sociales (pas trouvé de guide des assos),,94,,,,,,
http://www.redigeassistance.fr/cest-quoi/,Données intégrées,94,,,,,,
https://maisons-alfort.fr/sport-culture-et-loisirs/vie-culturelle/lomc-et-les-maisons-de-quartier/,,94,,,,,,
https://drive.google.com/drive/u/0/folders/146LSRC8c-tqClr-hkZRsPb7UKbZG6teT,,94,,,,,,
Rendez Vous Utile >>> voir commentaires contact Pauline RENARD,,94,,,,,,
PLATEAU BRIARD - Perigny sur Yerres : https://www.annuaire-mairie.fr/association-perigny-94.html (pas trouvé de guide des assos),,94,,,,,,
PLATEAU BRIARD - Marolles en Brie : https://www.annuaire-mairie.fr/association-marolles-en-brie-94.html (pas trouvé de guide des assos),,94,,,,,,
Epiceries Sociales,Données intégrées,94,,,,,,
LADAPT Val-d'Oise,A ajouter,95,LADAPT Val-d'Oise,,"IME, FAM, CAJ, SESSAD, ...",https://www.ladapt.net/etablissement-service-ile-de-france-val-doise,2020-10-19,
Bibliothèques Argenteuil,Données intégrées,95,,,,https://argenteuil.bibenligne.fr/,2020-12-01,
Listing établissement et service social ou medico-social,Données intégrées,95,Hospimedia,,,https://www.hospimedia.fr/actualite/themes/essms,2020-10-19,
Annuaire des SIAO,Données intégrées,95,Gouvernement,,,https://www.gouvernement.fr/sites/default/files/contenu/piece-jointe/2014/10/dihal_-_annuaire_siao_ecran.pdf,2020-10-19,
Service Social Départemental du Val d'Oise,En cours d'ajout,95,,,,https://www.valdoise.fr/aos-recherche/2279-mon-pass-social.htm?aosKeywords=ssd&aosThemServSocSearchSubmit=Rechercher,,
CIDFF Val d'Oise,Données intégrées,95,,,,http://www.cidff95.fr/?page_id=20,,
France Bénévolat,A ajouter,95,France Bénévolat,,Concerne tout le territoire FR,https://www.francebenevolat.org/associations,2020-10-19,
Annuaire des associations,En cours d'ajout,95,Ville de Pontoise,,,https://www.ville-pontoise.fr/article/lannuaire-associations,2020-10-20,
Croix Rouge - Val d'Oise,Données intégrées,95,Croix Rouge,,,https://www.croix-rouge.fr/Annuaire/DELEGATION-TERRITORIALE-DU-VAL-D-OISE9,2020-10-19,
Centre Ressources sur les mineurs isolés étrangers,Données intégrées,95,InfoMIE,,Annuaire des acteurs associatifs et institutionnels,https://www.infomie.net/spip.php?page=annuaire-imprimable&dep[]=150,,
OEPRE 95,Données intégrées,95,OEPRE,,,http://blog.ac-versailles.fr/oepre/public/Les_ateliers_OEPRE_du_Val_d_Oise_95/plaquette_OEPRE-_2020-2021-95.pdf,2021-02-16,
Secours Catholique - Délégation Val d'Oise,Données intégrées,95,Secours Catholique 95,,,http://valdoise.secours-catholique.org/?gclid=Cj0KCQjw8rT8BRCbARIsALWiOvQQVJJN2qV392KnevSgsrmgA7M5MFivD9vQYtSplMUMKl9HSGWnVqYaAkujEALw_wcB,2020-10-19,
ADIL 95,Données intégrées,95,,,,http://www.adil95.org/,,
Annuaire du Val d'Oise,A ajouter,95,Département du Val d'Oise,,Mise à jour par le Département,https://www.valdoise.fr/8-annuaire.htm,2020-10-19,
Repairs,Données intégrées,95,,,,,,
Each One formation,A ajouter,95,,,,https://www.reseau-alpha.org/structure/apprentissage-du-francais/each-one-ex-wintegreat/formation/francais-a-visee-professionnelle/f98ae-programme-tremplin-d-insertion-professionnelle-pour-le-public-refugie,,
Annuaire Action Sociale,Données intégrées,95,Action Sociale,,Le Registre Français du Social et Médico-Social,https://annuaire.action-sociale.org/,2020-10-19,
Annuaire Sanitaire Social,Données intégrées,95,Sanitaire Social,,Action social - handicap - maisons de retraite - EHPAD - Hôpitaux,https://www.sanitaire-social.com/,2020-10-19,
Répertoire des acteurs sociaux du Val d’Oise,Données intégrées,95,Espérer 95,,Version 2017/2018,http://esperer-95.org/wp-content/uploads/V2-R%C3%A9pertoire-des-acteurs-sociaux-du-Val-doise-V17-18.pdf,2018-01-01,
Bibliothèques Cergy,Données intégrées,95,,,,https://www.bibliotheques.cergypontoise.fr/,2020-12-01,
Cartographie des dispositifs F.L.E,Données intégrées,95,,,Concerne tout le territoire FR,https://framacarte.org/fr/map/cartographie-des-dispositifs-de-fle_27360#11/48.9888/2.2584,2020-10-19,
Guide d'informations des personnes exilées,Données intégrées,95,Watizat,,Un peu dans le 95,https://watizat.org/,2020-10-19,
CIJ - Centres de Planification Familiale,En cours d'ajout,95,,,,https://cij.valdoise.fr/les-centres-de-planification-familiale-du-val-doise/,,
Réseau Alpha,En cours d'ajout,95,Réseau Alpha,,Le site collaboratif de l’apprentissage du français en Île-de-France,https://www.reseau-alpha.org/,2020-10-19,
"Des lieux d’accueil, d’information et d’orientation",En cours d'ajout,95,CIJ Val d'Oise,,12/25 ans,https://cij.valdoise.fr/annuaire-des-lieux-daccueil-dinformation-et-dorientation-sur-le-theme-de-la-sante/,2020-10-19,
Listing des épiceries solidaires,Données intégrées,95,Maraudes.fr,,,http://maraudes.fr/pratique/epiceries-sociales-departement/,2020-10-19,
Listing CCAS Val d'Oise,Données intégrées,95,Sanitaire Social,,CCAS du 95,https://www.sanitaire-social.com/annuaire/centre-communal-d-action-sociale-ccas/val-doise-95,2020-10-19,
Listing permanences d'accueil juridique,Données intégrées,95,LDH,,,http://site.ldh-france.org/idf/permanences-daccueil-daide-juridique/,2020-10-19,
Les Maisons de quartier d'Argenteuil,Données intégrées,95,,,,http://www.argenteuil.fr/44-les-maisons-de-quartier.htm,,
Tableau reseau IJ 95 officiel,En cours d'ajout,95,Gouvernement,,,https://docs.google.com/document/d/1qyK-nVE3bKaeSxKIMmrf2nX0nV4opgLnG5C4HprgKi4/edit?hl=fr&pli=1#,2020-12-02,
Permanences Santé Cergy,Données intégrées,95,,,,https://www.cergy.fr/les-services-et-demarches/sante/permanences-sante/,,
Annuaire des démarches administratives,En cours d'ajout,95,Démarches Administratives,,"CCAS
ARS
MDPH
MSA
CPAM
CAF",https://demarchesadministratives.fr/annuaire,2020-10-19,
Secours Catholique,"Données intégrées,Partenariat actif",91,,,,http://essonne.secours-catholique.org/nous-trouver212,,Emilie Donque
Liste CSAPA 91,En cours d'ajout,91,,,Voir Oppelia pour compréhension différents sites et comment les cartographier,https://annuaire.action-sociale.org/etablissements/readaptation-sociale/centre-de-soins-accompagnement-prevention-addictologie-197/rgn-ile-de-france.html#essonne,,Emilie Donque
"maisons de quartier de versailles (4 ou 5 manquantes)
",Données intégrées,78,,,,https://www.versailles.fr/maisonsdequartier/montreuil-vauban/,,
"carto alcooliques et narcotiques anonymes
",A ajouter,78,,,,,,
"centres sociaux check ceux qu'on a pas
",A ajouter,78,,,,https://www.senacs.fr/structure/csx?departement=78&region=&name=&ville=&page=1,,
https://www.leparisien.fr/val-de-marne-94/contre-les-violences-faites-aux-femmes-ouarda-sadoudi-sur-tous-les-fronts-23-03-2021-8429615.php,,94,,,,,,
Annuaire des CCAS du 77,Données intégrées,77,https://www.sanitaire-social.com/annuaire/centre-communal-d-action-sociale-ccas/seine-et-marne-77,,,https://www.sanitaire-social.com/annuaire/centre-communal-d-action-sociale-ccas/seine-et-marne-77,,Noëlène Guérin
GROUPE - Annuaire des organismes de l'action sociale du 77,A ajouter,77,,,,https://www.sanitaire-social.com/annuaire/organismes-action-sociale/seine-et-marne-77,,Noëlène Guérin
RESEAU - Annuaires des hébergements sociaux du 77,A ajouter,77,,,,https://www.sanitaire-social.com/annuaire/hebergement-social/seine-et-marne-77,,Noëlène Guérin
RESEAU - 32 structures - drogues info service,En cours d'ajout,77,,,,https://www.drogues-info-service.fr/Recherche-professionnelle-multicriteres/(dept)/1078,,Noëlène Guérin
Organigramme de la DRDJSCS Grand-Est (Sept 2020),,67,DRDJSCS,,,https://grand-est.drdjscs.gouv.fr/sites/grand-est.drdjscs.gouv.fr/IMG/pdf/livret-47.pdf,2020-09-01,
CCAS et Accueils de jours ,Données intégrées,77,François MULLER SIAO 77 Coordinateur veille sociale 77,,"Voici donc dans ce mail les informations concernant les accueils de jour, abris de nuit, et les partenaires type CCAS, Mairie…

Sur le département nous comptabilisons 11 accueils de jour avec 3 abris de nuit et des accueils spécifiques.

Accueil de jour et abri de nuit Equalis à Meaux
Accueil de jour et abri de nuit le Sentier à Melun
Accueil de jour et abri de nuit Croix-Rouge Française à Melun
3 accueils de jour pour femmes victimes de violences conjugales le relais de Sénart  à Sénart et la maison des femmes à Montereau Fault-Yonne association Paroles de Femmes et 1 à Meaux association SOS Femmes.
Un accueil spécifique famille avec orientation par la PASH des familles issues de l’hôtel Association Arile site Horizon à Meaux
Un accueil de jour ouvert pour tous les publics uniquement en période hivernale Association Empreintes à Bussy Saint Martin
Accueil de jour de la Croix-Rouge Française à Chelles
Accueil de jour de l’association Empreintes à Roissy en Brie
Accueil de jour à Chelles de l’association CCAF (collectif chrétien d’action fraternelle)
 

Concernant les partenaires indirects le CCAS de TRILPORT, le CCAS de Mormant, le CCAS de Nemours, le CCAS de Provins, le CCAS de la Ferté sous Jouarre.

Concernant les Mairies je pense qu’il faut se rapprocher des grandes agglomérations du département Meaux Chelles Torcy Melun et les communes du Val d’Europe",,,Noëlène Guérin
Assos Covid Champigny sur Marne,,94,https://www.champigny94.fr/article/crise-covid-19-les-assos-la-rescousse,,,,,
Synergie Family,,94,https://www.reseau-alpha.org/structure/apprentissage-du-francais/synergie-family/formation/francais-a-visee-professionnelle/632f2-destination-emploi,,,,,
ADIE ? ,A ajouter,78,,,,,,
Bibliothèques / Médiathèques Coeur Essonne,Données intégrées,91,,biblio coeur essonne.png (https://dl.airtable.com/.attachments/d41417a721ebb8a412ee4459dfd59e39/75449518/bibliocoeuressonne.png),,https://mediatheques.coeuressonne.fr/vos-mediatheques/fiches-mediatheques/sgdb,,Emilie Donque
Foyers jeunes travailleurs --> 3,,94,https://annuaire.action-sociale.org/etablissements/readaptation-sociale/foyer-de-jeunes-travailleurs-non-transforme-en-residence-sociale-257/rgn-ile-de-france.html#val-de-marne,,,,,
Résidences sociales --> 57,,94,https://annuaire.action-sociale.org/etablissements/readaptation-sociale/residences-sociales-hors-maisons-relais-pensions-de-famille-259/rgn-ile-de-france.html#val-de-marne,,,,,
CHRS --> 16,,94,https://annuaire.action-sociale.org/etablissements/readaptation-sociale/centre-hebergement---reinsertion-sociale--c-h-r-s---214/rgn-ile-de-france.html#val-de-marne,,,,,
Registre Français du Social et Médico-Social,,94,https://annuaire.action-sociale.org/etablissements.php,,,,,
Espaces internet,,94,https://epnrelais59.wordpress.com/2011/03/23/espaces-publics-numeriques-dans-le-val-de-marne-94/,,,,,
Ivry : cours de FR + écrivains publics,,94,https://www.ivry94.fr/fileadmin/www.ivry94.fr/MEDIA/Demarches_Services/Solidarite/Ivry_lingui/guide_assos_francais_et_ecrivain_FEV2019Light__2_.pdf,,,,,
RESEAU - SSVP Société Saint-Vincent-de-Paul à Fontainebleau,A ajouter,77,,,,,,Noëlène Guérin
"RESEAU - Kit à agir (réseau jeunesse, complémentaire au RIJ)",A ajouter,77,Aurélien BOUTET (FDFR 77),,"> Contacter Bilitis Delalandre de la FDFR (mes locaux !) : communication@fdfr77.org

> Voir si API","https://kit-a-agir.fr/explore/?search_location=Seine-et-Marne,%20France&lat=48.6&lng=3&proximity=50&sort=latest",,Noëlène Guérin
"/Le Sentier
",Données intégrées,77,Abderrahim GAIER ,,,,,Noëlène Guérin
Fédération centres sociaux,A ajouter,91,,,https://essonne.centres-sociaux.fr/la-federation-3/lequipe-federale/,https://essonne.centres-sociaux.fr/le-reseau/annuairedescentres/,,Emilie Donque
SEUL - ADJ de la CR de Lagny,A ajouter,77,TS à l'ADJ de la CR de Chelles,,,,,Noëlène Guérin
RESEAU - Epsylone,A ajouter,77,Karim Mourad BOUDERBAL de l'ADJ CR Chelles,,,,,Noëlène Guérin
RESEAU - Alcooliques anonymes,A ajouter,77,,,,,,Noëlène Guérin
SEUL - Maison de l'emploi et la formation de Sénart (Mission locale),Données intégrées,77,01 64 13 40 18,,,https://www.facebook.com/secourisme7789.ordredemaltefrance/about/?ref=page_internal,,Noëlène Guérin
SEUL - Maison de l'emploi Villeparisis (Mission locale de la Plaine de France),Données intégrées,77,,,,,,Noëlène Guérin
"SEUL - Espace sociale municipal de Donnemarie
",A ajouter,77,,,,,,Noëlène Guérin
SEUL - CSAPA Coulommiers,A ajouter,77,,,,,,Noëlène Guérin
Espace solidarité - 20 rue Biesta Mitry Mory,Données intégrées,77,CJC Mitry > La psychologue fait des consultations là bas pour le CSAPA de Villeparisis,,,https://www.mitry-mory.fr/wp-content/uploads/2019/06/Les-associations-pr%C3%A9sentes-%C3%A0-lEspace-solidarit%C3%A9-Juin-2019.pdf,,Noëlène Guérin
"SEUL - Relais accès aux droits mairie Melun
",A ajouter,77,,,,,,Noëlène Guérin
"SEUL - Association Travail et entraide à côté du marché de Melun
",A ajouter,77,,,,,,Noëlène Guérin
"SEUL - Fidamuris (médiation)
",A ajouter,77,,,Projet laverie avec Halima Meghit de la CAMVS !,,,Noëlène Guérin
RESEAU - Foyers des jeunes travailleurs,A ajouter,77,,,,,,Noëlène Guérin
"RESEAU ? - Association ODE > antennes x4
",A ajouter,77,La boussole urbaine,,,https://www.ode77.fr/lassociation,,Noëlène Guérin
HOPITAL - Service d'alcoologie/tabacologie Hôp Meaux,A ajouter,77,CSAPA Meaux Centre Hevea,,- CRI APPRO,,,Noëlène Guérin
SEUL - Antennes ML de la ML Sud Ouest Seine-et-Marne,Données intégrées,77,,,,https://www.mission-locale.fr/annuaire/agence/mission-locale-du-sud-ouest-seine-et-marne,,Noëlène Guérin
RESEAU - Partenaires CDAD des PAD et MJD,A ajouter,77,,Guide_acces_au_droit_11_03_21.pdf (https://dl.airtable.com/.attachments/e112af128d344890d9b9a238f91a3797/2c044655/Guide_acces_au_droit_11_03_21.pdf),,http://www.cdad-seineetmarne.justice.fr/index.php/articles/page/?id=34,,Noëlène Guérin
RESEAU - abris de nuit 77,A ajouter,77,,,,,,Noëlène Guérin
Asso Couleur Terrasse,Données intégrées,77,SIAO,flyers_evs_2019.pdf (https://dl.airtable.com/.attachments/8783f16898e11649dfb29eeacfebdd39/7c840b87/flyers_evs_2019.pdf),"'- à Avon
- Présidente Odile SONGEUX
- Contact de SIAO = Brigitte FILATRE
- Espace de vie sociale (rdv parents enfants + rech d'emploi + point adm + point informatique + apprentissage du français...)",,,Noëlène Guérin
SEUL - Soleil d'enfants,Données intégrées,77,SIAO,,"- Khadidja ADARDOR
- A Montereau
- asso qui aide personnes à la rue : repas collation, vêtements pas cher...",,,Noëlène Guérin
SEUL - Asso Escapade,A ajouter,77,SIAO,,"- A Avon
- périsco + accueil loisir",,,Noëlène Guérin
