Sujet de la remontée,Référent,Personne à contacter,Adresse mail à contacter,Type de source,Source,Comportement souhaité,Plate-forme,Date de renseignement,Backlog web,Backlog app,Impact,Photo,Informations complémentaires,"Si c'est un bug, comment l'as-tu trouvé ?",Etat,Fonctionnalités générales,Type,Urgence,Roadmap copy,🧐 Bug ? RU ? Idée ?,Slack (from Référent),Traité le ,Référent de la remonté,Synchro AT soliguide
Avoir une assistance vocale pour faire une recherche,Perrine Poupaud,Cadres T5 departement 06,,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/rec28hvp2PW5kzH4n,Avoir une assistance vocale pour faire une recherche,,25/10/2021,,,,,,,A traiter (-),Accessibilité ,Idée,,,,,18/1/2022 6:39pm,,
Ajouter des horaires temporaires (comme il y a à la màj),Philippe Nieto,,,Equipe Soliguide,,"Pendant la maj été, il était possible d'indiquer des horaires temporaires. Sur les fiches Soliguide il était donc indiqué ""Attention ces horaires correspondent aux horaires temporaires de la structure  (à partir du 12/09/21 jusqu'au 22/09/21) + on trouvait également un bouton ""cliquez ici pour afficher les horaires habituels de la structure"".

L'idée serait donc de rendre cette fonctionnalité permanente lorsqu'on édite une fiche Soliguide (Ajouter un encadré ""horaires temporaires"" à côté de ""informations temporaires"")",Multiple,21/10/2021,,,Mineur,,,,A traiter (-),,Idée,,,,,8/11/2021 12:09pm,,Bas-Rhin
,Ségolène Robert,,,Bénévole,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recM1uvWuCyBrCPXc,avoir des notes vocales décrivant les structures solidaires,Plate-forme Web V2,19/10/2021,,,Négligeable,,,,A traiter (-),Accessibilité ,Idée,,,,,4/11/2021 12:07pm,,
,,Gaëlle Laruelle,gaelle.laruelle@atelier-graphite.fr,Association,Atelier Graphite ,"""peut-être indiquer facultatif par exemple"" pour le mail ",Plate-forme Web V2,1/10/2021,,,,,,,A traiter (-),,,,,,,4/11/2021 12:07pm,Agathe Thomas,
,Charlotte Camard,,,Equipe Soliguide,,"problème de catégorisation : certes certaines structures n'accueillent par exemple que les demandeurs d'asile, mais en l'occurence la 1ère catégorie ne devrait pas s'appeler ainsi --> les réfugiés et les demandeurs d'asile sont en situation régulière.

Il faudrait nommer autrement le filtre ""situation régulière"" --> à voir avec le reste de l'équipe ? ",Multiple,30/9/2021,,,Mineur,Capture d’écran 2021-09-30 à 10.37.50.png (https://dl.airtable.com/.attachments/c520c5af4f53b7bbcc8b7013a2324c70/c2f6b5d0/Capturedecran2021-09-30a10.37.50.png),,,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Jeanne Ovart,,,Equipe Soliguide,,"Mettre un filtre d'âge. Pour être honnête je sais pas ce qui est plus pertinent entre :
-laisser la personne mettre son âge (mais c'est complexe pour la pertinence de la recherche + cela n'incite pas à partager ce genre d'infos)
-mettre des tranches d'âges : 0- 5 / 6-10 / ....
-mettre juste ""bébé"" / ""mineurs"" / ""adultes"" / ""Sénior""",Plate-forme Web V2,29/9/2021,,,Mineur,,,,A traiter (-),Amélioration de la recherche,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Jeanne Ovart,,,Equipe Soliguide,,Que cela réindique le nombre de comptes validés sur AT,Base de donnée,29/9/2021,,,Majeur,,,,A traiter (-),🔄 Synchronisation Airtable-Soliguide,Bug,,,,,4/11/2021 12:07pm,,
,Suzanne Danvin,,,Equipe Soliguide,,"Sur site + sur appli (et surtout sur l'appli !) : masquer les filtres et avoir un bouton ""afficher les filtres""",Plate-forme Web V2,23/9/2021,,,Majeur,,,,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Suzanne Danvin,,,Equipe Soliguide,,"Afficher sur la carte tous les résultats de la recherche, pour pouvoir zoomer sur un périmètre, cliquer sur la structure qui nous intéresse et être directement redirigée vers cette structure. Sans avoir à parcourir les x pages de résultats.",Plate-forme Web V2,23/9/2021,,,Majeur,,,,A traiter (-),🖌 Refonte de la page de résultat de recherche ,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Manal Boukili,,,Equipe Soliguide,,Cela pourrait être intéressant de pouvoir effectuer une recherche avec plusieurs mots-clés ou plusieurs catégories de services afin que les utilisateurs qui ont plusieurs besoins (repas + douche par exemple) puissent filtrer les structures qui proposent ces deux services plutôt que de faire une recherche repas et de chercher ensuite si la structure propose également des douches ou pas ou d'orienter vers deux structures différentes. ,Multiple,20/9/2021,,,,,,,A traiter (-),"🍄 Recherche par pertinence,Amélioration de la recherche",Idée,,,,,4/11/2021 12:07pm,,
,Manal Boukili,,,Equipe Soliguide,,Que les différentes modalités d'accès apparaissent automatiquement dès qu'on sélectionne la touche associée à ces modalités d'accès.,Plate-forme Web V2,17/9/2021,93-Bouton modalité d'accès dans les services,,Mineur,Capture d’écran (4).png (https://dl.airtable.com/.attachments/149a6c2e69c212aa2eccaa2f25f077d9/d14d4876/Capturedcran4.png),URL (cf capture d'écran),"J'utilise Microsoft Edge. 
J'ai trouvé le bug, en me connectant à mon compte sur Soliguide.fr → Nouvelle structure → j'ai remplis les infos de la structure → ""Services proposés"" → ajouter un service et j'ai sélectionné modalités d'accès différentes ",A traiter (-),,Bug,,,,,4/11/2021 12:07pm,,
,Suzanne Danvin,,,Partenaire opérationnel,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recgO6QkxEpYmMP2l,"Potentiellement avoir un 2nd niveau d'information, dès la recherche (filtre ?)",Plate-forme Web V2,16/9/2021,,,Mineur,,,,A traiter (-),🍄 Recherche par pertinence,Idée,,,,,4/11/2021 12:07pm,,
,Pierre Blanchais,,,Equipe Soliguide,,"Il faudrait que le p de ""política de confidencialidad"" soit en majuscule pour être conforme aux autres lien dans le bas de page. ",Plate-forme Web V2,20/8/2021,554-Refonte du footer,,Négligeable,Capture d’écran de 2021-08-20 08-23-35.png (https://dl.airtable.com/.attachments/fd68f75f18b7fdfd1eaefb03aaa6d763/49f4162f/Capturedcrande2021-08-2008-23-35.png),,"J'ai changé la langue du site de Français à Espagnol et en allant vers le bas de page, j'ai pu observer la faute.",A traiter (-),,Bug,,,,,4/11/2021 12:07pm,,
,Jimmy Bondu,,,Equipe Soliguide,,"Revoir l'affichage des conditions d'accueil dans un service en fonction de celle de la structure :
1. Si accueil inconditionnel dans la structure et accueil particulier dans un service, afficher les critères dans le service (comportement actuel).
2. Si accueil particulier dans la structure et accueil inconditionnel dans un service, afficher accueil inconditionnel pour le service concerné.",Plate-forme Web V2,16/8/2021,,,Mineur,,,Lors de la traduction.,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Solinum Gironde,Régis Cliquot,Gestionnaire du compte pro des restos du coeur 33,Association,Gestionnaire du compte pro des restos du coeur 33,"Que les structures soient triées par ordre alphabétique depuis le manage orga, ce serait plus pratique pour les organismes aux fiches nombreuses",Plate-forme Web V2,12/8/2021,,,,,,,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Charlotte Camard,,,Partenaire institutionnel,Retours compilés lors d'un comité opérationnel COOP,"4 idées ressorties lors du COOP (atelier klaxoon, avec les maisons des 3 petits cochons. Maison de brique pour les aspects solides, maison de bois pour ""pas mal, mais à améliorer"", et maison de paille pour ""à envisager"". Ici je ne mets donc pas maison de brique, mais si ça vous intéresse pour vous booster, le CR est ici : https://docs.google.com/document/d/1oZ2QZjKSdB3LM2SnCqlwD6gJA9lys8cayP1X6zw9MAs/edit) :

LES IDEES : maison de bois (déjà là, à améliorer) :

- Référencement : Prévoir un libellé “Autre” dans les services proposés, pour les services qui ne rentrent pas dans la nomenclature → Actuellement, sur Soliguide, il est possible d’utiliser le services “activités”, cependant une adaptation de ce libellé (ou l’ajout d’une autre catégorie) peut s’envisager
- Référencement : Voir, sur une fiche, les adresses des autres structures de cet organisme sur le département ou la région (exemple : Secours Catholique de Guyancourt qui propose de “voir aussi” les fiches des villes voisines par ordre de proximité). 
- Comptes professionnels : Prévoir la possibilité de modifier des données en simultané pour les mêmes structures (par exemple, les plusieurs dizaines de SAS du Département changeant tous leurs modalités d’accueil)
- Comptes professionnels : La possibilité de donner le statut “lecteur” à un groupe de professionnels, sans avoir à entrer leurs informations une à une (exemple : les équipes de travailleurs sociaux)

LES IDEES : maison de paille (pas dispo du tout, à envisager) :

- Proposer des services ""packagés"" : une personne indique une situation (sans logement) et on lui propose une liste d'acteurs adaptés : pour se loger dans l'urgence mais aussi déposer une demande HLM, ne pas partir du principe que le public connaît toutes les démarches (aller plus loin dans Soliguide) 
- Créer une vue “professionnelle” pour des informations accessible seulement aux pro ( ligne téléphonique directe) notamment pour les structures d'accompagnement de femme victime de violence : cela donnerait un affichage différent des fiches existantes plutôt qu’une fiche entière en mode “réservé aux pros” --> J'AI DEJA FAIT CE RETOUR PARDON JE L'ECRIS EN MAJUSCULES COMME CA IL PEUT ETRE ""PASSé"" CAR DEJA LU ET PRIS EN COMPTE CA CORRESPOND A SOLIGUIDE COMME ANNUAIRE PRO
- Visibilité de Soliguide : Améliorer le référencement sur moteur de recherche (quality score, amélioration des mots-clés)
- Traduction : Avoir une traduction automatique proposée par  langue sur l’ensemble du site et plus seulement la partie charnière (traduction plus aboutie) 
- Général : ajouter de nouvelles fonctionnalités et de nouvelles structures
- Référencement : ajouter une catégorie “inclusion numérique” ",Multiple,10/8/2021,,,Mineur,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,Régis Cliquot,ad33.informatique@restosducoeur.org,Association,Gestionnaire du compte pro des restos du coeur 33,"Qu'on puisse voir directement depuis le manage orga le statut des fiches : brouillon, en ligne, fermé temporairement, fermé définitivement. Ça sera très pratique, surtout pour les orgas qui ont bcp de fiches. ",Plate-forme Web V2,5/8/2021,,,,,,,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Suzanne Danvin,,,Equipe Soliguide,, Avoir l'organisme affiché en dessous du nom de la structure,Plate-forme Web V2,2/8/2021,566-Nom de l'orga sur une fiche,,Mineur,"image (5).png (https://dl.airtable.com/.attachments/4566b244427a3750f4c3acc5929ba648/a913728c/image5.png),image (4).png (https://dl.airtable.com/.attachments/115e7963bd91745bb88833c7ce73ae57/dac293c7/image4.png)",,,A traiter (-),,Bug,,,,,4/11/2021 12:07pm,,
,Charlotte Camard,,,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recC9vqYcHSxpSunC,voir plus haut,Plate-forme Web V2,29/7/2021,,,Mineur,,,,A traiter (-),🖌 Refonte de la page de résultat de recherche ,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,Equipe Soliguide,,Associer un département à chaque fiche soliguide,Base de donnée,27/7/2021,536-Numéro de département sur les fiches,,,,,,A traiter (-),,,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,Equipe Soliguide,,"- dès qu'une absence est ajoutée, mettre un événement de type absent du bureau pour les absences de 1 jour ou plus
- ajouter un joli petit emoji palmier entre la date de début et de fin de l'absence",Outils (pour collaborateurs),26/7/2021,,,Négligeable,image.png (https://dl.airtable.com/.attachments/f0df8814127db3986794bf32ef054b45/e7936e28/image.png),,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Noëlène Guérin,,,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recERUQTWX1EFVVbE,"Ce serait plus intuitif d'avoir le changement du curseur en petite main pour indiquer qu'il faut cliquer pour indiquer l'adresse mail. 
La couleur de l'écriture (envoyer un email"" pourrait être similaire à celle des autres écritures, comme par exemple ""voir le site"".

J'ai bien compris que cette option proposée sur ""voir le site"" par exemple est comme ça parce qu'il y a une action : ouvrir la page web liée. Mais du coup c'est moins lisible pour ""envoyer un email"", il est d'ailleurs de la même couleur que le numéro de fax par exemple qui n'est lié à aucune action et qui donc n'est pas cliquable > ça peut porter à confusion. 

J'espère que je suis claire, c'est dur d'expliquer ça ^^",Plate-forme Web V2,23/7/2021,"13-👣 Front des fiches de mauraude,23-🏝 Front des fiche de strcuture à distance",,Mineur,GmLRUR6Jry3rIKOkZ7hbVpVZsXvQB-EWQXnURrN-GtNi75f4KuRWyQLbhhbxNlvRFY2vGtUxk1d5bAJsexblSRBLUVOQRDnU2o6ERd-oEhodDo4_7mLohnUg0sL9mgeRBM8Ep4Sd0Z91j7gjIkO1w-IbEPkLsj24FW_Kvobu4fg (https://dl.airtable.com/.attachments/0965d42ea0d6f06d84bfe0f027d8cddc/97c75f54/GmLRUR6Jry3rIKOkZ7hbVpVZsXvQB-EWQXnURrN-GtNi75f4KuRWyQLbhhbxNlvRFY2vGtUxk1d5bAJsexblSRBLUVOQRDnU2o6ERd-oEhodDo4_7mLohnUg0sL9mgeRBM8Ep4Sd0Z91j7gjIkO1w-IbEPkLsj24FW_Kvobu4fg),Windows 10 Google Chrome,"Sur une fiche du Soliguide public ""normal"" (pas manage), dans les infos pratiques, visuellement et quand on passe sur le texte ""envoyer un email"", on ne comprend pas de suite que le lien est cliquable pour ouvrir/faire apparaître l'adresse mail. ",A traiter (-),,Bug,,,,,4/11/2021 12:07pm,,
,Noémie Cohen,Elise Leclerc,,Partenaire institutionnel,ESSEC,"Concernant les résultats à long terme, Elise Leclerc préconise de mettre un pop up pour les utilisateurs qui reviennent sur Soliguide avec la question suivante : “Lors de votre dernière recherche, Soliguide vous a-t-il permit d'accéder à une structure directement ?”",Plate-forme Web V2,21/7/2021,,,,,https://airtable.com/tblEMebldO3NLzzI7/viwis8oRSQffPSjAJ/recXCXmvz4bVvXcoe?blocks=bip0tGt2ne5Ixf93K,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,Equipe Soliguide,,avoir systématiquement le numéro de département,Base de donnée,16/7/2021,536-Numéro de département sur les fiches,,Négligeable,,,,A traiter (-),,Bug,,,,,4/11/2021 12:07pm,,
,Solinum Gironde,Gisèle (bénévole à la Cabane à gratter) ,,Association,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/rec8a9ihSbISP1sdN,"Elle a émis l'idée d'avoir un ""onglet"" supplémentaire ""L'association recherche des bénévoles"" sur la fiche de la structure",Plate-forme Web V2,12/7/2021,,,Négligeable,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Solinum Gironde,Marianne Deballon,deballon.marianne@gmail.com,Association,SOLACMI (Solidarité Accompagnement Migrants) ,"Traduction des fiches pratiques et peut-être aussi du site en langue d'Europe de l'Est (Géorgien, roumain..) 
Possibilité d'ajouter une catégorie ""Interprète"" ou ""traducteur"" sur le Soliguide afin de référencer des associations ou des traducteurs bénévoles. ",Plate-forme Web V2,12/7/2021,,,Mineur,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Maëlle Nagels,Cette idée vient d'un bénéficiaire rencontré en permanence,,Bénéficiaires,Espace Insertion de Fontenay-sous-Bois (94),"Une sorte de fiche lexique, sur la page d'accueil. Je ne sais pas trop sous quelle forme mais ça pourrait être au niveau des fiches pratiques par exemple ? 
Ou alors que ça s'affiche selon les territoires, car les termes employés ne sont pas les mêmes partout (ex: EDS c'est spécifique au 94).",Multiple,8/7/2021,,,,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Victoire Heymelot,,,Equipe Soliguide,,"Que l'export prenne en compte les données réelles de Soliguide, à savoir aucune info temporaire (puisque j'ai vérifié à chaque fois, ça n'était jamais coché). Ca doit être les anciennes infos temporaires de la MAJ hiver qui reviennent dans le tableau d'export. ",Outils (pour collaborateurs),7/7/2021,,,Majeur,bug export.PNG (https://dl.airtable.com/.attachments/d4899eeb681c3dec4fdb5a30b8d77e9e/6d26e15f/bugexport.PNG),,merci et bon courage :),A traiter (-),📃 Liste papier,Idée,,,,,4/11/2021 12:07pm,,
,Victoire Heymelot,,,Equipe Soliguide,,que les dates de fermeture remplies sur Soliguide s'intègrent directement aux exports :),Outils (pour collaborateurs),7/7/2021,,,Majeur,,,"j'ai mis ""majeur"" car ça prend énormément de temps de tout revérifier alors que la MAJ a pris tout autant de temps, c'est donc refaire en double le boulot ",A traiter (-),📃 Liste papier,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Charlotte Camard,,,,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/reckPgsfj35Y4Hmxv,"'- problèmes sur les libelles déjà en interne pour le secours catholique donc ils ont aussi du mal à trouver leur compte dans la nomenclature Soliguide
- il faudrait que chaque rubrique soit explicitée pour les gens avec un compte (pour nous ça tombe sous le sens mais 

Explication complémentaire de Charlotte : la demande c'est surtout que les catégories soient explicitées dans l'interface pro  : concrètement, qu'entend-t-on comme différence entre ""colis alimentaire"", ""distribution alimentaire"" et ""épicerie sociale"" --> on en avait discuté à l'atelier catégorie, et en l'occurence les acteurs m'ont dit que c'était clair pour personne (aka ce n'est pas spécifique à soliguide, en interne chez eux tout le monde a des formulations différentes, et par exemple ""distribution"" c'est trop connoté). Donc le besoin correspondrait à une explicitation des intitulés des services, donc à un travail de groupe chez nous",,7/7/2021,,,,,,,A traiter (-),➕ Ajouter des catégories,Idée,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,,,Equipe Soliguide,,"Rajout d'une catégorie pour référencer les services de santé sexuelle qui font de l'orientation et de l'éducation, sans que ça soit un dépistage. 
Ex : permanences de l'asso AIDES",Multiple,6/7/2021,,,,,ex sur cette fiche : https://soliguide.fr/manage-place/1952 ,,A traiter (-),➕ Ajouter des catégories,Idée,,,,,4/11/2021 12:07pm,,
,Victoire Heymelot,,,Equipe Soliguide,,l'ajout de la catégorie,Plate-forme Web V2,2/7/2021,,,,,,,A traiter (-),➕ Ajouter des catégories,Idée,,,,,4/11/2021 12:07pm,,
,Noëlène Guérin,,,Equipe Soliguide,,"Il faudrait indiquer beaucoup mieux où il faut cliquer pour accéder à sa fiche pour la modifier. Peut-être que c'est la brique entière qui pourrait être cliquable, ou au moins le nom de la structure/fiche. ",Plate-forme Web V2,1/7/2021,,,Critique,Exemple.JPG (https://dl.airtable.com/.attachments/8c4cd861948add5989718504d62e29eb/d7e3f0ef/Exemple.JPG),,,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Pierre Blanchais,,,Equipe Soliguide,,Proposer une solution UX/UI pour rendre plus difficile la regénération de token d'API,Plate-forme Web V2,1/7/2021,,,Mineur,,,,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Pierre Blanchais,,,Equipe Soliguide,,Je souhaite que le bouton ne soit pas visible ou me ramène vers la page d'accueil du site,Plate-forme Web V2,30/6/2021,,,Négligeable,,,,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Suzanne Danvin,,,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recHdTacwHBGPFQI3,Avoir une solution audio (lecture du texte ?) pour ces publics,Plate-forme Web V2,22/6/2021,,,Négligeable,,,,A traiter (-),Accessibilité ,Idée,,,,,4/11/2021 12:07pm,,
,Emilie Donque,,,Equipe Soliguide,,"Il faudrait faire apparaître la langue Romani/ RRomani dans la section ""langues parlées par la structure"" dans les fiches Soliguide svp. Merci beaucoup!! 
",Plate-forme Web V2,22/6/2021,,,Majeur,,https://soliguide.fr/admin-place/public/12798,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Mathilde Eme-rabolt,Marie-Alice BOUGON,,Structure de l'action sociale,Femmes de Paroles,Peut-être faire un onglet contact directement sur le Soliguide pour que les structures n'aient pas à utiliser Crisp,Multiple,22/6/2021,,,Mineur,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Mathilde Eme-rabolt,,,Equipe Soliguide,,"Il pourrait être utile que, lorsque l'on entre des informations temporaires, en plus du bandeau, qu'il y ait des modifications sur la fiche également.",Multiple,22/6/2021,,,Majeur,,,,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Noëlène Guérin,,,Equipe Soliguide,,"Si c'est possible, voir pour ajouter une nouvelle sous catégorie dans la catégorie existante ""Santé"". Alors j'hésite entre ""conseil santé"" et ""orientation santé"". Vous avez moyen de trancher ? Ou faut soumettre au vote ?",Multiple,18/6/2021,,,Majeur,,,,A traiter (-),➕ Ajouter des catégories,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Ronan Pandaure,,,115,Ecoutant 115,"Il faudrait mettre le bandeau plus en avant. Gras, rouge, plus gros? A voir mais, il est trop discret actuellement.

Dans l'idéal, il faudrait que la structure soit indiquée comme ""fermée aujourd'hui"" sur le résultat de la recherche",Plate-forme Web V2,17/6/2021,,,Majeur,,,,A traiter (-),Amélioration de la recherche,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Servane Baron,,,Equipe Soliguide,,Avoir à moyen terme la possibilité de faire une recherche par âge. ,Plate-forme Web V2,15/6/2021,,,Mineur,recherche âge.png (https://dl.airtable.com/.attachments/384a0fbca912fd260c5844f583c4b21b/b0579d43/recherchege.png),,,A traiter (-),Amélioration de la recherche,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,Pascaline Lherm,p.lherm@mairie-bordeaux.fr,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/rec4F4MEkFF9rZUMJ,Un filtre 18-25 ans et un filtre enfance / ados ,Plate-forme Web V2,14/6/2021,,,,,,,A traiter (-),Refonte des filtres,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Suzanne Danvin,,,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/rec8koWl3pNcHr14b,"Réapparition du filtre ""Conditions d'accès"" (accès libre, sur rdv, sur orientation)",Plate-forme Web V2,14/6/2021,,,Mineur,,,,A traiter (-),Refonte des filtres,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Naomi Ebah,,,Equipe Soliguide,,qu'il n'y ai plus de page blanche ,App,9/6/2021,,,Majeur,,,aller sur l'application---->faire une recherche ( besoins+localisattion)--->selectionner une fiche--->(bug) et du coup page blanche ,A traiter (-),App mobile,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Marie Boutin,,,Professionnel de l'action sociale,Classe de BTS,La personne suggère de pouvoir taper manuellement la langue recherchée,Plate-forme Web V2,9/6/2021,,,Négligeable,01.PNG (https://dl.airtable.com/.attachments/2668e2dcfaaa66fc90a42ea57040ae77/f6996ee8/01.PNG),,,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Marie Boutin,,,Professionnel de l'action sociale,,Rajouter une catégorie bricolage,Plate-forme Web V2,9/6/2021,,,Mineur,,,,A traiter (-),➕ Ajouter des catégories,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Jeanne Ovart,Marion Ormancey  Chargée du développement Missions France  (Port : 06.72.83.79.55),marion.ormancey@auditionsolidarite.org,Structure de l'action sociale,AuditionSolidarités,"""Re bonjour Jeanne,

Comme convenu voici les petits « bugs » sur la plateforme qui ne fonctionnent pas pour nous trouver :

Dans l’encart « que recherchez-vous », j’ai mis audition solidarité, puis dans l’encart « à proximité de », j’ai mis Paris, résultat de la recherche = aucun résultat. On trouve notre page uniquement lorsqu’on tape la bonne orthographe « AuditionSolidarité » ou lorsqu’on tape « audition ».
 

L’idéal serait de trouver notre page lorsqu’on tape les mots suivants dans la barre « que recherchez-vous » : « oreilles », « appareils auditifs », « prothèses auditives », « audition ».
 

On a pourtant ajouté ces mots clés : « oreilles », « appareils auditifs », « prothèses auditives » dans la rubrique « activités diverses » mais lorsque l’on fait une recherche avec ces mots-là = aucun résultat.
 

Dans la catégorie : santé : ça serait génial d’avoir une catégorie « audition » au même titre que « dentaire » déjà existante.
Dans la catégorie : spécialistes : idem, ça serait super d’avoir une catégorie « audioprothésiste ».
 

Grand merci pour votre aide, et merci d’être là !""",Plate-forme Web V2,8/6/2021,,,Mineur,,,,A traiter (-),"➕ Ajouter des catégories,Amélioration de la recherche",Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Suzanne Danvin,,,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recFQQXrcEx83XHOI,"Avoir une catégorie ""Bébés/Mamans""",Plate-forme Web V2,7/6/2021,,,Majeur,,,,A traiter (-),➕ Ajouter des catégories,Idée,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,Equipe Soliguide,,"Proposer aux organisations inscrites sur soliguide un widget permettant d'afficher les données de leurs structures directement sur leurs sites web. 

Les sites web des structures sont souvent moins à jour sur leurs horaires et adresses que soliguide. D'autre fois, les structures refusent d'être référencés parce que l'info est déjà sur leur site. Pour faciliter leur vie et pas tout mettre à jour, nous pourrions leur proposer d'intégrer les données de Soliguide sur leur site avec un snippet de code. 

Pour exemple, la liste des postes sur https://www.solinum.org/on-recrute/ est un widget de welcome to the jungle",Plate-forme Web V2,4/6/2021,,,Négligeable,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,Structure de l'action sociale,https://app.crisp.chat/website/6b9552e0-e4cd-404a-905b-215ea25692b0/inbox/session_e95fc7c5-c6ce-456f-9dc1-d5d15b8bd165/,"1. Il propose de ranger par ordre alphabétique (""un ordre alphabétique serait bien utile
"").  D'autres types de tri pourraient être proposés aux utilisateurs qui ont plus de x fiches liées : par date de dernière mise à jour, par premier service, etc.

2. Masquer les structures fermées définitivement du compte utilisateur",Plate-forme Web V2,3/6/2021,,,Mineur,,Chrome 90.0.4430.212Windows 10,,A traiter (-),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,,,Association,Emmaüs Connect,"Rendre Soliguide plus accessible :
- version pour malvoyants
- synonymes pour personnes qui ne parlent pas français 
- ajouter d'autres langues",Plate-forme Web V2,1/6/2021,,,Mineur,,,,A traiter (-),Accessibilité ,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,,,Association,Emmaüs Connect,"Ajouter une catégorie ""internet""",Plate-forme Web V2,1/6/2021,,,,,,,A traiter (-),➕ Ajouter des catégories,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,Holly Barsham ,holly.barsham@croix-rouge.fr,Association,Croix-Rouge,"Ajouter des magasins qui font des dons, ou des structures qui ne sont pas dans l'action sociale mais qui peuvent aider/donner (un peu comme système To Good To Go par exemple, des magasins qui peuvent faire des dons, ou des commerçants solidaires comme ceux du Carillon de la Cloche par exemple) 

(⇒ j'ai découvert Circlely qui s'occupe exactement de ça)",Multiple,1/6/2021,,,,,,,A traiter (-),➕ Ajouter des catégories,Idée,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,Milène,,115,écoutante 115,Ajouter des structures qui donnent des duvets et des tentes → il y a beaucoup de demandes à ce sujet ,Multiple,1/6/2021,,,,,,,A traiter (-),➕ Ajouter des catégories,Idée,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,Sixtine Perussel / Nadine Cliquot et Aline ,,Association,Emmaüs connect et Restos du cœur,"Ajouter une catégorie : Où faire des impressions / photocopies ?
",Multiple,1/6/2021,,,,,,,A traiter (-),➕ Ajouter des catégories,Idée,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,Sixtine Perrusel / Nadine Cliquot et Aline (/ Arnaud Dugay),,Association,Emmaüs connect et Restos du Coeur (aussi Croix-Rouge),"Ajouter le nombre de places disponibles dans les structures 
",Multiple,1/6/2021,,,,,,,A traiter (-),,Idée,,,,,4/11/2021 12:07pm,,
