Nom du partenaire,Contact,Compte-rendu,Tags,Statut du partenariat,Domaine d'activité,Site,Opportunités,Adresse,Informations complémentaires,Rattachement à un partenaire national,Département (from CR),Département (from Contact),Département (from partenaires),Created
Conseil départemental de l'Eure (CD27),"Amandine Sada,Ivanovitch Fetiveau,Emmanuel Nouvel ,Justine Mabille","""CR  Amandine Sada, Ivanovitch Fetiveau, Emmanuel Nouvel , Justine Mabille Conseil départemental de l'Eure (CD27) 2022-01-21T13:44:29.000Z""","Partenariat souhaité,Financeur",Contacté/ en négociation,,,,,,,Eure,"Eure,Eure,Eure,Eure",Eure,21/1/2022
Conseil départemental de l'hérault (34),"Carine Tara,Raymond Prieto-Pérez,Christophe Gasc,Nathalie Bonneric,Anaïs Lafaye,Beaussier Françoise,Nathalie Bollon","CR  Carine Tara Conseil départemental de l'hérault (34) 2021-07-15T09:27:03.000Z,CR  Raymond Prieto-Pérez Conseil départemental de l'hérault (34) 2021-07-23T11:51:18.000Z,CR  Raymond Prieto-Pérez Conseil départemental de l'hérault (34) 2021-09-14T12:14:23.000Z,""CR  Carine Tara, Christophe Gasc, Nathalie Bonneric, Anaïs Lafaye, Raymond Prieto-Pérez Conseil départemental de l'hérault (34) 2021-09-23T10:45:41.000Z"",""CR  Nathalie Bollon, Justine Labarre, Nicolas Bricas, Beaussier Françoise, Mélodie DEPALLE Conseil départemental de l'hérault (34), Supagro montpellier, CIRAD, FAS occitanie 2021-10-14T10:50:18.000Z"",CR  Carine Tara Conseil départemental de l'hérault (34) 2021-12-22T10:10:04.000Z",,,,,,,,,"Hérault,Hérault,Hérault,Hérault,Hérault,Hérault",Hérault,,15/7/2021
Conseil départemental de l'Orne (CD61),Donatienne CASTEL-CHAPELAIS,,Soliguide,,,,,,,,,Orne,,22/6/2021
Conseil départemental de la Drôme (CD 26),"Saïd Mebarki,Véronique Geourjon Reyne","CR  Saïd Mebarki Conseil départemental de la Drôme (CD 26) 2021-06-21T09:53:14.000Z,CR  Véronique Geourjon Reyne Conseil départemental de la Drôme (CD 26) 2021-08-11T12:23:25.000Z,CR  Saïd Mebarki Conseil départemental de la Drôme (CD 26) 2021-09-14T13:25:12.000Z","Soliguide,Financeur,Co-construction",,Collectivité territoriale,https://www.ladrome.fr/,,,,,"Drôme,Drôme,Drôme",,,21/6/2021
Conseil départemental de la Haute-Garonne (CD31),"Chantal Rotier,Thierry Beges","""CR  Chantal Rotier, Thierry Beges Conseil départemental de la Haute-Garonne (CD31) 2022-01-19T16:18:53.000Z""","Soliguide,Financeur,Partenariat souhaité",Contacté/ en négociation,,,,,,,Haute-Garonne,"Haute-Garonne,Haute-Garonne",Haute-Garonne,19/1/2022
Conseil départemental de la Sarthe (CD72),Jocelyne Herbron,,Soliguide,,,,,,,,,Sarthe,,22/6/2021
Conseil départemental des Alpes Maritimes,"Christophe Paquette,Béatrice Vélot,David Camatte,Isabelle Astri","CR  Christophe Paquette Conseil départemental des Alpes Maritimes 2020-12-18T13:08:55.000Z,CR  Béatrice Vélot Conseil départemental des Alpes Maritimes 2021-05-10T13:10:58.000Z,""CR  Christophe Paquette, Béatrice Vélot Conseil départemental des Alpes Maritimes 2021-07-14T15:53:12.000Z"",CR  Christophe Paquette Conseil départemental des Alpes Maritimes 2021-07-19T08:42:37.000Z,CR  Béatrice Vélot Conseil départemental des Alpes Maritimes 2021-08-05T12:25:49.000Z,""CR  Christophe Paquette, Béatrice Vélot Conseil départemental des Alpes Maritimes 2021-10-06T15:44:50.000Z"",CR  Béatrice Vélot Conseil départemental des Alpes Maritimes 2021-11-03T11:47:37.000Z,""CR  Béatrice Vélot, David Camatte Conseil départemental des Alpes Maritimes 2021-12-10T17:57:32.000Z"",""CR  Béatrice Vélot, Christophe Paquette, David Camatte, Isabelle Astri Conseil départemental des Alpes Maritimes 2022-01-12T16:14:43.000Z"",CR  Béatrice Vélot Conseil départemental des Alpes Maritimes 2021-10-25T13:58:08.000Z","Soliguide,Communication,Opérationnel",En cours (contact/actions régulières),,,Conseil départemental Alpes Maritimes,,,,"Alpes-Maritimes,Alpes-Maritimes,Alpes-Maritimes,Alpes-Maritimes,Alpes-Maritimes,Alpes-Maritimes,Alpes-Maritimes,Alpes-Maritimes,Alpes-Maritimes,Alpes-Maritimes","Alpes-Maritimes,Alpes-Maritimes,Alpes-Maritimes",Alpes-Maritimes,21/1/2021
Conseil départemental du Cantal (15),"Natacha Muracciole,Karine Cadoux,Valérie Gauzentes Cœurdane,Jocelyne Pinquier,Sandrine CATUSSE","CR  Karine Cadoux Conseil départemental du Cantal (15) 2021-06-15T22:46:06.000Z,""CR  Valérie Gauzentes Cœurdane, Pascal PONS, Pierre Beaumont, Marie-Eve Gorgas CCAS Aurillac (cantal), CAF Cantal 15, ANEF 15 - SIAO Cantal, CPAM Cantal 15, DDETS Cantal (15), Conseil départemental du Cantal (15) 2021-09-21T14:29:43.000Z"",CR  Valérie Gauzentes Cœurdane Conseil départemental du Cantal (15) 2021-11-17T15:45:39.000Z,CR  Jocelyne Pinquier Conseil départemental du Cantal (15) 2021-11-22T15:34:17.000Z,CR  Sandrine CATUSSE Conseil départemental du Cantal (15) 2021-12-16T09:05:03.000Z,""CR  Valérie Gauzentes Cœurdane, Karine Cadoux, Nathalie BOIVENT, Pierre Beaumont, Marie-Eve Gorgas DDETS Cantal (15), ANEF 15 - SIAO Cantal, CCAS Aurillac (cantal), Conseil départemental du Cantal (15) 2022-01-13T17:11:04.000Z""",Soliguide,Terminé,,,,,,,"Cantal,Cantal,Cantal,Cantal,Cantal,Cantal","Cantal,Cantal,Cantal,Cantal",,15/6/2021
Conseil Départemental du Nord (59),"Pascal FUCHS,Pierre Coumes ,Delphine Berteloot,Elodie Hamard,Virginie Delassus ",CR  Pascal FUCHS Conseil Départemental du Nord (59) 2021-10-06T09:03:52.000Z,"Co-construction,Soliguide",Contacté/ en négociation,,https://lenord.fr/jcms/j_6/accueil,,"51, rue Gustave Delory 59047 Lille Cedex",,,Nord,"Nord,Nord,Nord,Nord,Nord",,5/10/2021
Conseil départemental du Pas de Calais (CD62),Fabrice lucas,,Soliguide,,,,,,,,,,,22/6/2021
Conseil Départemental du Puy-de-Dôme (63),"Sophie Point,Guillaume Tournadre,Véronique Pauq,Xavier BREGERE,Véronique Martin Saint-Léon,Damien Reberry,Eléonore Szczepaniak,Stéphanie Flori Dutour,Pierre Auroi,Raphaëlle Courtial ","""CR  Sophie Point, Guillaume Tournadre Conseil Départemental du Puy-de-Dôme (63) 2021-06-03T13:19:25.000Z"",CR  Sophie Point Conseil Départemental du Puy-de-Dôme (63) 2021-06-15T14:35:45.000Z,CR  Véronique Pauq Conseil Départemental du Puy-de-Dôme (63) 2021-06-21T09:41:08.000Z,CR  Véronique Pauq Conseil Départemental du Puy-de-Dôme (63) 2021-07-09T21:03:52.000Z,""CR  Guillaume Tournadre, Xavier BREGERE Conseil Départemental du Puy-de-Dôme (63) 2021-07-14T15:53:12.000Z"",CR   Conseil Départemental du Puy-de-Dôme (63) 2021-08-26T14:02:20.000Z,CR   Conseil Départemental du Puy-de-Dôme (63) 2021-08-27T08:19:24.000Z,CR   Conseil Départemental du Puy-de-Dôme (63) 2021-09-07T12:24:53.000Z,CR   Conseil Départemental du Puy-de-Dôme (63) 2021-09-10T16:49:05.000Z,CR   Conseil Départemental du Puy-de-Dôme (63) 2021-09-13T14:30:51.000Z,""CR  Sophie Point, Raphaëlle Courtial  Conseil Départemental du Puy-de-Dôme (63) 2021-09-21T10:52:47.000Z"",CR  Véronique Pauq Conseil Départemental du Puy-de-Dôme (63) 2021-10-01T07:23:32.000Z,""CR  Pierre Brun, Aurélien Le Thuaut, Guy Xicluna, Guy-Joël REBOISSON, Isabelle Tourret, Béatrice Aune , Martine Ley, Antoine Bouvet, Nathalie Portal , Bruno Inçaby, Bernadette Fougerouse, Raphaëlle Courtial , Véronique Pauq, Véronique Martin Saint-Léon, Stéphanie Flori Dutour, Eléonore Szczepaniak, Damien Reberry Conseil Départemental du Puy-de-Dôme (63), ANEF 63 / SIAO , Secours Catholique 63, DDETS 63, Clermont Auvergne Métropole, CCAS Clermont, Pôle Emploi 63, CAF 63, Mission locale Cournon, Mission locale de Clermont, Cecler 63 2021-10-22T13:36:57.000Z"",""CR  Pierre Auroi, Raphaëlle Courtial  Conseil Départemental du Puy-de-Dôme (63) 2021-12-10T18:41:38.000Z"",CR  Raphaëlle Courtial  Conseil Départemental du Puy-de-Dôme (63) 2022-01-06T18:15:26.000Z,CR  Raphaëlle Courtial  Conseil Départemental du Puy-de-Dôme (63) 2022-01-21T17:13:39.000Z",Soliguide,En cours (contact/actions régulières),,,,,,,"Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme","Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme",,3/6/2021
Conseil départemental du Val d'Oise,,,"Soliguide,Financeur",,,https://www.valdoise.fr/,,,,,,,,3/2/2021
Conseil départemental du Val de Marne,Raphaël Charle,,"Soliguide,Co-construction,Financeur,Communication",En cours (contact/actions régulières),,https://www.valdemarne.fr/,"Département du Val de Marne 2020,Département du Val de Marne 2021,Département du Val de Marne 2022",,,,,,Val-de-Marne,3/2/2021
Conseil départemental Gironde (CD33),"Odile MAIRE ,Laurence Muret,Anne-Marie SUTTER,Justine Bosredon,Christine ROMAN DZIANDZIALOWSKI",,Financeur,Contacté/ en négociation,,,"Projet locaux de développement social gironde,FDVA Gironde,Trophées Agenda 21,CD Gironde - Appel à initiatives locales de développement social",,,,,"Gironde,Gironde,Gironde,Gironde,Gironde",Gironde,5/3/2020
Conseil départemental Les Vosges CD 88 ,"Bertrand BROQUE,Christine BAILLY ",,"Soliguide,Co-construction,Financeur",,,,,,,,,,,5/8/2021
Conseil départemental Loire Atlantique (CD44),"Isabelle NEAU,Isabelle GRAILARD,Gaëlle RIVOAL,Gaëlle DANIEL","""CR  Gaëlle RIVOAL, Isabelle GRAILARD Conseil départemental Loire Atlantique (CD44) 2021-11-26T16:19:07.000Z"",CR  Isabelle GRAILARD Conseil départemental Loire Atlantique (CD44) 2021-06-09T16:30:25.000Z","Soliguide,Merci pour l'invit'",Souhaité,,,,,,,"Loire-Atlantique,Loire-Atlantique","Loire-Atlantique,Loire-Atlantique,Loire-Atlantique",,22/6/2021
Conseil départemental seine-maritime (CD 76),"Lolita Manière,Delphine Leray,Typhaine Orosemane,Olivier Crehalet ","""CR  Lolita Manière, Delphine Leray Conseil départemental seine-maritime (CD 76) 2021-07-20T14:03:03.000Z"",""CR  Typhaine Orosemane, Olivier Crehalet  Conseil départemental seine-maritime (CD 76) 2021-11-03T11:18:53.000Z"",""CR  Typhaine Orosemane, Olivier Crehalet  Conseil départemental seine-maritime (CD 76) 2022-01-19T12:24:31.000Z""",,,,,,,,,"Seine-Maritime,Seine-Maritime,Seine-Maritime",Seine-Maritime,,20/7/2021
Conseil départemental Yvelines 78,"Marie-Orphélia SOTIER,Michèle Renard",,Financeur,,,,"Département des Yvelines 2020,Conseil départemental 78 2021",,,,,,,16/6/2020
Conseil régional Bretagne,Régine Roué,,,,,,,,,,,"Ille-et-Vilaine,Côtes-d'Armor,Finistère,Morbihan",,5/11/2021
Conseil régional Grand Est,Région Grand EST,,Soliguide,,,,,,,,,,,22/6/2021
Conseil régional Hauts de France,"Augustin ALI,Claire Vaillant ,Christine Constant ",,Soliguide,,,,,,,,,"Nord,Nord",,22/6/2021
Consilium pour tous,Camille Chaudet,CR  Camille Chaudet Consilium pour tous 2022-01-04T14:53:39.000Z,Mécénat/bénévolat,En cours (contact/actions régulières),,https://www.consiliumpourtous.fr/notre-d%C3%A9marche,,,,,,,,4/1/2022
COREVIH Est,Anastasia Sarkis,CR  Anastasia Sarkis COREVIH Est 2022-01-14T16:43:47.000Z,,Contacté/ en négociation,Coordination santé public VIH/IST,http://www.corevihest.fr/,,,,,"Paris,Seine-Saint-Denis,Seine-et-Marne,Essonne",,"Paris,Seine-Saint-Denis,Essonne,Seine-et-Marne",14/1/2022
CPAM,,,,,,,,,,,,,,30/11/2021
CPAM 06,"Sylvie Ducrocq,Laurence Bornes","CR  Sylvie Ducrocq CPAM 06 2021-12-02T15:53:59.000Z,""CR  Laurence Bornes, Sylvie Ducrocq CPAM 06 2022-01-06T18:12:33.000Z""",,Contacté/ en négociation,,,,"7 Rue Pertinax, 06000 Nice, France",,,"Alpes-Maritimes,Alpes-Maritimes",,Alpes-Maritimes,2/12/2021
CPAM 94,,,"Soliguide,Co-construction,Financeur",Souhaité,,,,,Pas de retour à mon mail (+ relance). Contact = Christine NAVARRO,,,,Val-de-Marne,14/1/2022
CPAM Cantal 15,Pascal PONS,"""CR  Valérie Gauzentes Cœurdane, Pascal PONS, Pierre Beaumont, Marie-Eve Gorgas CCAS Aurillac (cantal), CAF Cantal 15, ANEF 15 - SIAO Cantal, CPAM Cantal 15, DDETS Cantal (15), Conseil départemental du Cantal (15) 2021-09-21T14:29:43.000Z""",,En cours (contact/actions régulières),,,,,,,Cantal,Cantal,,29/7/2021
CPAM des Yvelines,Francine Collet,,"Soliguide,Financeur",,Santé,https://www.ameli.fr/yvelines/,,,,,,,,3/8/2021
Creative,,CR   Creative 2021-01-20T12:05:31.000Z,Soliguide,,,,,,,,Val-d'Oise,,,20/1/2021
CREDOC (Centre de Recherche pour l'Étude et l'Observation des Conditions de Vie),Marianne Blehaut,"""CR  Anaïs Clergeau, Marianne Blehaut ANSA, CREDOC (Centre de Recherche pour l'Étude et l'Observation des Conditions de Vie), Préfecture Ile-de-France 2021-07-23T11:41:44.000Z"",""CR  Marianne Blehaut Préfecture Ile-de-France, ANSA, CREDOC (Centre de Recherche pour l'Étude et l'Observation des Conditions de Vie) 2021-10-14T08:30:47.000Z""",,,,https://www.credoc.fr/,,,,,,,,23/7/2021
CREES PACA,Laurent Villard ,CR  Laurent Villard  CREES PACA 2021-11-17T15:26:30.000Z,Partenariat souhaité,Contacté/ en négociation,Chambre régionale ESS,https://www.cresspaca.org/,,,,,"Alpes-Maritimes,Bouches-du-Rhône","Alpes-Maritimes,Bouches-du-Rhône","Alpes-Maritimes,Bouches-du-Rhône",17/11/2021
CRESS PACA,,"CR  Laurent Villard  CRESS PACA 2021-11-29T14:43:46.000Z,CR  Laurent Villard  CRESS PACA 2021-11-30T15:17:00.000Z,CR   CRESS PACA 2021-12-01T10:51:56.000Z",,Contacté/ en négociation,Economie sociale et solidaire ,https://www.cresspaca.org/,,,,,"Bouches-du-Rhône,Alpes-Maritimes,Bouches-du-Rhône,Alpes-Maritimes",,"Bouches-du-Rhône,Alpes-Maritimes",29/11/2021
Croix Rouge 78 - bénévoles,,,Soliguide,,,,,,,,,,,20/1/2021
Croix Rouge 78 - pôle lutte contre les exclusions,"Carole le Gal,Sarah Ghoundale-Perroud",,Soliguide,,,,,,,,,,,20/1/2021
Croix-Rouge 59,Patrice Fayet ,"CR  Patrice Fayet  Croix-Rouge 59 2021-11-24T15:56:20.000Z,CR  Patrice Fayet  Croix-Rouge 59 2021-12-15T15:30:48.000Z",,Contacté/ en négociation,,,,"60, rue Destombes - 59160 Lomme",,Croix-Rouge Française,"Nord,Nord",Nord,,28/10/2021
Croix-Rouge 95,,,Soliguide,,,https://www.croix-rouge.fr/Annuaire/DELEGATION-TERRITORIALE-DU-VAL-D-OISE9,,,,,,,,3/2/2021
Croix-Rouge Ardèche,Guillaume Eglin,,,,,,,,,,,,,29/7/2021
Croix-Rouge Bouches-du-Rhône,Marie-Claude Raulot,,,,,,,,,,,,,29/7/2021
Croix-Rouge Cantal,Gérard Gayout,,,,,,,,,,,,,29/7/2021
Croix-Rouge Drôme,Michel Gonay,,,,,,,,,,,,,29/7/2021
Croix-Rouge Française,"Florian Charpentier,Micaela Pinola,Angelina Valenti,Olivier Longuet,Guillaume Meugnier,Gaspard Chameroy,Bénédicte Souben,Samuel Harault,Françoise Fromageau,Leslie Morice,Emilie MARIN,Samia Gheraia,Cindy Verger,Pauline Barthel,Gwenaëlle Vetillard","""CR  Chloé Agrinier, Bénédicte Souben Croix-Rouge Française 2021-05-31T12:56:59.000Z"",""CR  Chloé Agrinier, Guillaume Meugnier Croix-Rouge Française 2021-08-26T16:58:08.000Z"",CR  Leslie Morice Croix-Rouge Française 2021-09-17T07:53:23.000Z,CR  Emilie MARIN Croix-Rouge Française 2021-10-15T08:27:06.000Z,CR  Emilie MARIN Croix-Rouge Française 2021-10-15T08:27:44.000Z,CR  Samia Gheraia Croix-Rouge Française 2021-10-27T10:28:29.000Z,CR  Pauline Barthel Croix-Rouge Française 2021-10-28T16:37:00.000Z,CR  Gwenaëlle Vetillard Croix-Rouge Française 2021-10-28T16:56:44.000Z,""CR  Anna Loaec, Intissar Bouftaïm Croix-Rouge Française 2021-11-05T10:53:58.000Z""","Soliguide,Mécénat/bénévolat,Opérationnel,Experts,API,Co-construction",,,,,,,,,Isère,,31/5/2021
Croix-Rouge Française - Délégation du Bas-Rhin,Esther Henry,CR  Esther Henry Croix-Rouge Française - Délégation du Bas-Rhin 2021-12-08T10:32:08.000Z,Soliguide,Contacté/ en négociation,,,,,,Croix-Rouge Française,Bas-Rhin,Bas-Rhin,Bas-Rhin,8/12/2021
Croix-Rouge IDF,,,"Solinum,Soliguide",,,,,,,Croix-Rouge Française,,,,9/11/2021
Croix-Rouge Puy-de-Dôme,Gérard Montmasson,,,,,,,,,,,,,29/7/2021
Croix-Rouge Vosges,,CR  Samuel Harault Croix-Rouge Vosges 2021-06-18T06:59:03.000Z,Soliguide,,,,,,,,Vosges,,,18/6/2021
CROUS de Créteil,,,"Soliguide,Opérationnel",Contacté/ en négociation,,,,,,,,,Val-de-Marne,14/1/2022
"CTG ""Accès aux droits et inclusion numérique"" (Caf X MNCA)",,"""CR   """"CTG """"""""Accès aux droits et inclusion numérique"""""""" (Caf X MNCA)"""" 2022-01-28T14:58:11.000Z""",,,,,,,,,Alpes-Maritimes,,,28/1/2022
DAL (droit au logement),,CR   DAL (droit au logement) 2021-04-21T10:37:54.000Z,Merci pour l'invit',Souhaité,MPLI,https://www.droitaulogement.org/,,,,,Loire-Atlantique,,,21/4/2021
DASES,Lionel Barbault,CR  Lionel Barbault DASES 2021-09-23T12:14:39.000Z,Solinum,Contacté/ en négociation,,,,,,,Paris,,,23/9/2021
Data for good,Théo Alves Da Costa,CR  Théo Alves Da Costa Data for good 2022-01-07T12:48:10.000Z,"Mécénat/bénévolat,Experts",Contacté/ en négociation,,https://dataforgood.fr,,,,,,,,7/1/2022
Data players,Pierre Bouvier-Muller,"""CR  Hélène Kergoat, Pierre Bouvier-Muller Collectif emploi, Data players 2021-12-23T11:12:15.000Z"",""CR  Hélène Kergoat, Pierre Bouvier-Muller Collectif emploi, Data players 2022-01-10T17:03:50.000Z""",,En cours (contact/actions régulières),,,,,,,,,,23/12/2021
DDCS 92 - Bureau Intégration et Prévention des exclusions,,,Soliguide,Souhaité,,,,,,,,,,1/12/2020
DDCS 95,,,Soliguide,,,https://www.val-doise.gouv.fr/Services-de-l-Etat/Presentation-des-services/Direction-Departementale-de-la-Cohesion-Sociale,,,,,,,,3/2/2021
DDCS Hauts-de-Seine,,,Soliguide,Souhaité,,,,,,,,,,21/7/2020
DDET Indre et Loire,Sabrina Bendjebour,,Soliguide,,,,,,,,,Indre-et-Loire,,22/6/2021
DDETS 63,"Bernadette Fougerouse,Caroline DAMBRUN","""CR  Pierre Brun, Aurélien Le Thuaut, Guy Xicluna, Guy-Joël REBOISSON, Isabelle Tourret, Béatrice Aune , Martine Ley, Antoine Bouvet, Nathalie Portal , Bruno Inçaby, Bernadette Fougerouse, Raphaëlle Courtial , Véronique Pauq, Véronique Martin Saint-Léon, Stéphanie Flori Dutour, Eléonore Szczepaniak, Damien Reberry Conseil Départemental du Puy-de-Dôme (63), ANEF 63 / SIAO , Secours Catholique 63, DDETS 63, Clermont Auvergne Métropole, CCAS Clermont, Pôle Emploi 63, CAF 63, Mission locale Cournon, Mission locale de Clermont, Cecler 63 2021-10-22T13:36:57.000Z""",Soliguide,En cours (contact/actions régulières),,http://www.puy-de-dome.gouv.fr/,,,,,Puy-de-Dôme,"Puy-de-Dôme,Puy-de-Dôme",,29/10/2021
DDETS 91,,,,En cours (contact/actions régulières),,,,,,,,,Essonne,20/12/2021
DDETS 92,Jeanne Delacourt,,Soliguide,Souhaité,,,"DDCS 92,""APP  """"Action d'accompagnement des étrangers en situation régulière"""" – primo arrivants""",,,,,Hauts-de-Seine,,25/11/2020
DDETS Ain,Jean-François Fougnet,,Soliguide,,,,,,,,,Ain,,22/6/2021
DDETS Bas-Rhin,"Marion REYNAUD,Julien DHOMONT","CR  Rémy Babey DDETS Bas-Rhin 2021-05-20T10:17:42.000Z,""CR  Brigitte LUX , Anoutchka CHABEAU , Marion REYNAUD, Montserrat AGUAYO DDETS Bas-Rhin, DDETS Haut-Rhin, DREETS Grand Est, Préfecture Grand Est 2021-10-12T10:16:40.000Z"",""CR  Anoutchka CHABEAU , Montserrat AGUAYO, Julien DHOMONT Préfecture Grand Est, DDETS Bas-Rhin, DDETS Haut-Rhin, DREETS Grand Est 2021-11-22T15:32:11.000Z""",Soliguide,,,https://www.bas-rhin.gouv.fr/Outils/Horaires-et-coordonnees/Direction-Departementale-de-la-Cohesion-Sociale2,,,,,"Bas-Rhin,Haut-Rhin,Bas-Rhin,Bas-Rhin",Bas-Rhin,,20/5/2021
DDETS Cantal (15),"Marion PERRIER,Pierre Beaumont","""CR  Valérie Gauzentes Cœurdane, Pascal PONS, Pierre Beaumont, Marie-Eve Gorgas CCAS Aurillac (cantal), CAF Cantal 15, ANEF 15 - SIAO Cantal, CPAM Cantal 15, DDETS Cantal (15), Conseil départemental du Cantal (15) 2021-09-21T14:29:43.000Z"",CR  Pierre Beaumont DDETS Cantal (15) 2021-09-23T08:39:32.000Z,""CR  Valérie Gauzentes Cœurdane, Karine Cadoux, Nathalie BOIVENT, Pierre Beaumont, Marie-Eve Gorgas DDETS Cantal (15), ANEF 15 - SIAO Cantal, CCAS Aurillac (cantal), Conseil départemental du Cantal (15) 2022-01-13T17:11:04.000Z""",,En cours (contact/actions régulières),,,,,,,"Cantal,Cantal,Cantal","Cantal,Cantal",,29/7/2021
DDETS Centre Val de Loire,Simon Karleskind,,Soliguide,,,,,,,,,,,22/6/2021
DDETS Côte d'Or (21),"Nicolas nibourel,Samuel Michaut,Samuel Michaut",CR  Samuel Michaut DDETS Côte d'Or (21) 2021-09-27T08:20:02.000Z,Soliguide,,,,,,,,Côte-d'Or,"Côte-d'Or,Côte-d'Or",,22/6/2021
DDETS Côtes d'Armor (22),"Gaidig Taburet,GUEDES Jean-Marie,DENIS Cécile","""CR  DENIS Cécile, Nathalie BERTHOU DDETS Côtes d'Armor (22) 2021-11-15T09:49:57.000Z"",""CR  DENIS Cécile, Nathalie BERTHOU SIAO 22, DDETS Côtes d'Armor (22) 2021-12-10T09:53:46.000Z""",Soliguide,,,,,,,,"Côtes-d'Armor,Côtes-d'Armor",,,22/6/2021
DDETS des Bouches-du-Rhône (13),"Nathalie Daussy,Elsa Ferri-Battini,Anthony Barraco,Camille VELLA","""CR  Joëlle Chenet, Nathalie Daussy, Matthieu Rochelle DDETS des Bouches-du-Rhône (13), DTAS (Conseil Départemental 13) 2021-02-16T19:30:15.000Z"",CR  Anthony Barraco DDETS des Bouches-du-Rhône (13) 2021-07-16T14:28:05.000Z,CR  Nathalie Daussy DDETS des Bouches-du-Rhône (13) 2021-08-24T15:55:42.000Z,""CR  Joëlle Chenet, Line BERARD, Camille VELLA DDETS des Bouches-du-Rhône (13), DREETS PACA 2021-11-30T17:56:10.000Z"",""CR   DDETS des Bouches-du-Rhône (13), FAS PACA Corse, DTAS (Conseil Départemental 13), DREETS PACA 2022-01-05T09:45:33.000Z""","Soliguide,Financeur",,,,,,,,"Bouches-du-Rhône,Bouches-du-Rhône,Bouches-du-Rhône,Bouches-du-Rhône,Bouches-du-Rhône",Bouches-du-Rhône,,16/2/2021
DDETS Finistère (29),"Marie-Claude François,ABIVEN-ABALEA Agnès,KALBACHER Valérie ",,Soliguide,,,,,,,,,"Finistère,Finistère,Finistère",,22/6/2021
DDETS Gironde (33),"Caroline LAUZERAL   ,Clément Georges 93,Clément Georges","""CR  Clément Georges 93, Clément Georges DDETS Gironde (33) 2021-07-14T15:53:12.000Z""",Soliguide,Contacté/ en négociation,,,,,,,Gironde,Gironde,,22/6/2021
DDETS Haut-Rhin,Brigitte LUX ,"""CR  Brigitte LUX , Anoutchka CHABEAU , Marion REYNAUD, Montserrat AGUAYO DDETS Bas-Rhin, DDETS Haut-Rhin, DREETS Grand Est, Préfecture Grand Est 2021-10-12T10:16:40.000Z"",""CR  Anoutchka CHABEAU , Montserrat AGUAYO, Julien DHOMONT Préfecture Grand Est, DDETS Bas-Rhin, DDETS Haut-Rhin, DREETS Grand Est 2021-11-22T15:32:11.000Z""",Soliguide,,,https://www.haut-rhin.gouv.fr/Services-de-l-Etat/DDETSPP2,,3 rue Fleischhauer 68026 COLMAR CEDEX,,,"Haut-Rhin,Bas-Rhin,Bas-Rhin",,,12/10/2021
DDETS Haute-Savoie (74),,"""CR  Béatrice LAUR, Catherine Roulet, Francesco ALAMPI, Brigitte HAUSER DDETS Haute-Savoie (74), Conseil départemental de Haute-Savoie (CD 74), Agglomération d'Annemasse, Ville d'annecy 2021-06-13T09:44:27.000Z""",Soliguide,,,,,,,,Haute-Savoie,,,13/6/2021
DDETS Hauts de Seine (92),"Nadia Miraoui,Juline GANGAPAL,Jeanne Delacourt",,Soliguide,Souhaité,,,,,,,,"Hauts-de-Seine,Hauts-de-Seine,Hauts-de-Seine",,22/6/2021
DDETS Hérault (34),"Jeanne Arthaud,Jérôme THERON,Carole Davila","""CR  Jeanne Arthaud, Jérôme THERON DDETS Hérault (34) 2021-07-23T17:54:34.000Z"",CR  Carole Davila DDETS Hérault (34) 2021-08-27T08:15:45.000Z,CR  Jeanne Arthaud DDETS Hérault (34) 2021-08-30T10:08:03.000Z,CR  Jérôme THERON DDETS Hérault (34) 2022-01-06T15:08:49.000Z",,,,,,,,,"Hérault,Hérault,Hérault,Hérault",Hérault,,23/7/2021
DDETS Ille et Vilaine (35),"Auriane Mongin,COETMEUR Gilles","CR  COETMEUR Gilles DDETS Ille et Vilaine (35) 2021-11-16T15:26:49.000Z,CR  Auriane Mongin DDETS Ille et Vilaine (35) 2021-12-10T17:02:24.000Z",Soliguide,,,,,,,,"Ille-et-Vilaine,Ille-et-Vilaine",,,22/6/2021
DDETS Indre et Loire,Muriel Filippi,,Soliguide,,,,,,,,,Indre-et-Loire,,22/6/2021
DDETS Loire-Atlantique (44),"Blandine GRIMALDI,Eve MAURY",,Financeur,Souhaité,,,,,,,,"Loire-Atlantique,Loire-Atlantique",Loire-Atlantique,29/11/2021
DDETS Morbihan (56)," VIELLE-BOUSSION Aline,Valérie Pomariega,BACILIERE Gaëlle","CR  Valérie Pomariega DDETS Morbihan (56) 2021-11-17T15:59:34.000Z,CR  Valérie Pomariega DDETS Morbihan (56) 2022-02-02T09:41:48.000Z",Soliguide,,,,,,,,"Morbihan,Morbihan",,,22/6/2021
